motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	47	0.1348	0.0091	0.0041	0.0769	0.0059	0.0026	3.0492	0.1673	0.0748
2	+-	48	0.1331	0.0183	0.0082	0.0751	0.0124	0.0055	3.048	0.1617	0.0723
2	+-	49	0.1322	0.0087	0.0039	0.0743	0.0035	0.0016	3.0474	0.1665	0.0745
2	+-	50	0.1322	0.0195	0.0087	0.0742	0.0136	0.0061	3.0474	0.1598	0.0715
2	-+	0	0.0858	0.0132	0.0059	0.0279	0.0119	0.0053	3.0152	0.168	0.0751
2	-+	1	0.0891	0.0118	0.0053	0.0311	0.0074	0.0033	3.0175	0.1632	0.073
2	-+	2	0.0879	0.0098	0.0044	0.0299	0.0068	0.003	3.0167	0.1668	0.0746
2	-+	3	0.091	0.0121	0.0054	0.0331	0.0102	0.0046	3.0189	0.1693	0.0757
2	-+	4	0.0846	0.0109	0.0049	0.0266	0.0139	0.0062	3.0144	0.1727	0.0772
2	-+	5	0.0717	0.0109	0.0049	0.0138	0.0054	0.0024	3.0055	0.1647	0.0737
2	-+	6	0.0703	0.0104	0.0046	0.0124	0.0155	0.0069	3.0045	0.1745	0.0781
2	-+	7	0.0657	0.0082	0.0037	0.0078	0.0043	0.0019	3.0013	0.1668	0.0746
2	-+	8	0.0738	0.004	0.0018	0.0159	0.0057	0.0026	3.0069	0.1714	0.0766
2	-+	9	0.0704	0.0106	0.0047	0.0125	0.0058	0.0026	3.0046	0.165	0.0738
2	-+	10	0.1034	0.0108	0.0048	0.0455	0.006	0.0027	3.0275	0.167	0.0747
2	-+	11	0.0945	0.0156	0.007	0.0366	0.0111	0.005	3.0213	0.1636	0.0732
2	-+	12	0.0899	0.0039	0.0018	0.0319	0.0042	0.0019	3.018	0.1693	0.0757
2	-+	13	0.1033	0.0126	0.0057	0.0454	0.0091	0.0041	3.0274	0.1659	0.0742
2	-+	14	0.105	0.0065	0.0029	0.0471	0.0058	0.0026	3.0285	0.169	0.0756
2	-+	15	0.1137	0.014	0.0063	0.0558	0.0117	0.0052	3.0346	0.1672	0.0748
2	-+	16	0.1152	0.0186	0.0083	0.0573	0.0127	0.0057	3.0356	0.1618	0.0724
2	-+	17	0.1133	0.0146	0.0066	0.0554	0.0121	0.0054	3.0343	0.1678	0.075
2	-+	18	0.1204	0.0213	0.0095	0.0625	0.0157	0.007	3.0392	0.1623	0.0726
2	-+	19	0.1249	0.01	0.0045	0.067	0.0087	0.0039	3.0424	0.1691	0.0756
2	-+	20	0.1266	0.0214	0.0096	0.0687	0.0155	0.0069	3.0435	0.1602	0.0716
2	-+	21	0.1297	0.0089	0.004	0.0718	0.0063	0.0028	3.0457	0.168	0.0751
2	-+	22	0.1288	0.0214	0.0096	0.0709	0.0155	0.0069	3.0451	0.1609	0.072
