peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
181	2	0	0	0	0	0	0	0	0	0	0	0	2
182	0	0	0	0	0	0	1	0	0	0	0	0	1
183	2	0	0	0	0	0	0	0	0	0	0	0	2
184	3	0	0	0	1	0	0	1	0	0	0	0	5
185	1	0	1	0	0	0	0	0	0	0	0	0	2
186	3	0	0	0	0	0	0	0	0	0	0	0	3
187	2	0	2	0	0	0	0	0	0	0	0	0	4
188	2	0	0	0	0	0	0	1	0	0	0	0	3
190	2	0	0	0	0	0	0	0	0	0	0	0	2
193	0	0	0	0	2	0	0	0	0	0	0	0	2
194	1	0	0	0	0	0	0	0	0	0	0	0	1
195	3	0	0	0	0	0	0	0	0	0	0	0	3
196	0	0	0	0	1	0	0	0	0	0	0	0	1
197	0	0	0	0	0	1	0	0	0	0	0	0	1
198	1	0	0	0	0	0	0	0	0	0	0	0	1
199	0	0	0	0	2	0	0	0	0	0	0	0	2
200	1	0	0	0	0	0	0	0	0	0	0	0	1
201	1	0	0	0	0	0	0	0	0	0	0	0	1
202	1	0	0	0	2	0	0	0	0	0	0	0	3
203	0	0	0	1	0	0	0	0	0	0	0	0	1
204	3	0	0	0	0	0	0	0	0	0	0	0	3
205	1	0	0	0	1	0	0	0	0	0	0	0	2
206	0	0	0	0	0	1	0	0	0	0	0	0	1
207	2	0	0	0	0	0	0	0	1	0	0	0	3
208	1	0	0	0	0	0	0	0	0	0	0	0	1
209	0	0	1	0	0	0	0	0	0	0	0	0	1
211	2	0	0	0	0	0	0	0	0	0	0	0	2
212	2	0	0	0	0	1	1	0	0	0	0	0	4
213	1	0	0	0	0	0	0	0	0	0	0	0	1
214	0	0	1	0	1	0	0	0	0	0	0	0	2
215	0	0	0	0	1	0	1	0	0	0	0	0	2
216	2	0	0	1	0	0	0	0	0	0	0	0	3
217	1	0	0	1	0	0	0	0	0	0	0	0	2
219	3	0	0	0	1	0	0	0	0	0	0	0	4
220	2	0	0	0	0	0	0	0	0	0	0	0	2
221	3	0	0	0	0	0	0	1	0	0	0	0	4
222	0	0	0	1	0	0	0	1	0	0	0	0	2
223	2	0	0	0	0	0	0	0	0	0	0	0	2
224	1	0	0	0	2	0	0	0	0	0	0	0	3
225	2	0	1	0	0	0	0	0	0	0	0	0	3
226	2	0	0	2	0	0	0	1	0	0	0	0	5
227	1	0	0	0	0	0	0	0	0	0	0	0	1
228	1	0	0	1	1	0	0	0	0	0	0	0	3
229	1	0	0	0	0	0	1	0	0	0	0	0	2
230	2	0	0	2	0	0	0	0	0	0	0	0	4
231	4	0	0	0	0	1	0	0	0	0	0	0	5
232	4	0	0	0	0	0	0	0	0	0	0	0	4
233	2	0	0	0	0	0	0	0	0	0	0	0	2
234	1	0	1	0	1	0	0	0	0	0	0	0	3
235	0	0	0	1	2	0	0	0	0	0	0	0	3
236	1	0	0	0	1	0	0	0	0	0	0	0	2
237	3	0	0	0	0	0	0	0	0	0	0	0	3
238	0	0	0	0	0	1	1	0	0	0	0	0	2
239	2	0	0	0	0	0	1	0	0	0	0	0	3
240	0	0	1	0	0	0	0	0	0	0	0	0	1
241	3	0	0	0	1	0	0	0	0	0	0	0	4
242	1	0	0	0	0	0	0	0	0	0	0	0	1
243	1	0	1	0	0	0	0	0	0	0	0	0	2
244	0	0	0	1	0	0	0	0	0	0	0	0	1
245	1	0	0	0	0	0	0	0	0	0	0	0	1
246	1	0	0	0	0	0	0	0	0	0	0	0	1
247	1	0	0	1	0	0	0	0	0	0	0	0	2
248	0	0	0	0	0	1	0	0	0	0	0	0	1
249	2	0	0	0	0	0	0	0	0	0	0	0	2
250	0	0	0	0	1	0	0	0	0	0	0	0	1
251	2	0	0	0	0	0	0	0	0	0	0	0	2
252	1	0	0	0	2	0	1	0	0	0	0	0	4
253	0	0	1	0	0	0	0	0	0	0	0	0	1
254	1	0	0	0	0	0	0	1	0	0	0	0	2
255	1	0	0	0	0	0	0	0	0	0	0	0	1
256	0	0	0	1	1	0	0	0	0	0	0	0	2
257	4	0	0	0	0	0	0	1	0	0	0	0	5
258	4	0	0	0	0	0	0	0	0	0	0	0	4
259	1	0	0	0	0	0	0	0	0	0	0	0	1
260	1	0	0	0	0	0	0	0	0	0	0	0	1
261	4	0	0	0	0	0	0	0	1	0	0	0	5
262	4	0	0	0	0	0	0	1	0	0	0	0	5
264	1	0	1	0	0	0	0	0	0	0	0	0	2
265	1	0	0	1	0	0	0	0	0	0	0	0	2
266	1	0	1	0	1	0	0	0	0	0	0	0	3
267	0	0	1	0	0	0	0	0	0	0	0	0	1
268	4	0	0	1	0	0	0	0	0	0	0	0	5
269	1	0	0	0	0	0	0	0	0	0	0	0	1
270	3	1	0	0	0	0	0	0	0	0	0	0	4
271	3	0	0	0	0	0	0	1	0	0	0	0	4
272	1	0	0	0	0	0	0	0	0	0	0	0	1
273	1	0	0	3	0	0	0	0	0	0	0	0	4
274	2	0	0	0	0	0	0	0	0	0	0	0	2
275	0	0	1	0	0	0	0	0	0	0	0	0	1
276	2	0	0	0	0	0	0	0	0	0	0	0	2
277	0	0	0	0	1	0	0	1	0	0	0	0	2
278	0	0	0	0	0	1	0	1	0	0	0	0	2
279	2	0	0	0	2	0	0	0	0	0	0	0	4
280	1	0	1	0	0	0	0	1	0	0	0	0	3
281	1	0	0	0	2	0	0	1	0	0	0	0	4
282	2	0	0	0	0	0	0	0	0	0	0	0	2
283	3	0	0	0	0	0	0	1	0	0	0	0	4
284	1	0	0	0	0	0	0	0	0	0	0	0	1
285	1	0	0	0	0	0	0	0	0	0	0	0	1
286	2	0	0	0	0	1	0	0	0	0	0	0	3
