peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
450	1	0	0	0	0	1	0	0	0	0	0	0	2
451	1	0	0	0	2	0	0	0	0	0	0	0	3
452	2	0	0	0	2	0	0	0	0	0	0	0	4
453	0	0	1	0	0	0	0	0	0	0	0	0	1
454	5	0	0	1	0	0	0	0	0	0	0	0	6
455	0	0	1	1	0	0	0	0	0	0	0	0	2
456	2	0	0	0	1	0	1	0	0	0	0	0	4
457	0	0	1	0	0	1	0	0	0	0	0	0	2
458	0	0	0	0	1	0	0	0	0	0	0	0	1
460	1	0	0	0	0	0	0	0	0	0	0	0	1
461	3	0	0	1	0	0	0	0	0	0	0	0	4
462	2	0	0	0	1	0	0	1	0	0	0	0	4
463	2	0	0	0	0	0	0	0	0	0	0	0	2
464	3	0	0	0	2	0	0	0	0	1	0	0	6
465	1	0	0	0	0	0	0	0	0	0	0	0	1
466	1	0	0	0	0	0	0	0	0	0	0	0	1
467	1	0	0	0	0	0	0	0	0	0	0	0	1
468	2	0	0	0	0	0	0	0	0	0	0	0	2
469	2	0	0	0	0	0	0	0	0	0	0	0	2
470	1	0	0	0	0	0	0	1	0	0	0	0	2
471	2	0	0	1	1	0	1	0	0	0	0	0	5
472	2	0	0	0	4	0	0	0	0	0	0	0	6
473	2	0	0	0	0	0	0	1	0	0	0	0	3
474	3	0	0	0	0	0	0	0	0	0	0	0	3
475	2	0	0	0	0	0	0	0	0	0	0	0	2
476	1	0	0	0	0	0	0	0	0	0	0	0	1
477	1	0	0	0	0	0	0	0	0	0	0	0	1
478	1	0	0	0	1	0	0	1	0	1	0	0	4
479	0	0	1	0	0	0	0	0	0	0	0	0	1
480	1	0	0	0	1	0	0	0	0	0	0	0	2
481	0	0	0	1	0	0	0	0	0	0	0	0	1
482	0	1	0	0	1	0	0	1	0	0	0	0	3
483	5	0	0	0	0	0	0	1	0	0	0	0	6
484	1	0	1	0	1	0	0	0	0	0	0	0	3
485	3	0	0	0	1	0	2	0	0	0	0	0	6
486	0	0	0	2	0	0	0	0	0	0	0	0	2
487	1	0	0	0	1	0	0	0	1	0	0	0	3
488	1	0	1	0	0	0	0	0	0	0	0	0	2
489	3	0	0	0	0	0	0	0	0	0	0	0	3
491	2	0	0	0	0	0	1	1	0	0	0	0	4
492	2	0	0	0	1	0	0	0	0	0	0	0	3
493	3	0	0	0	0	0	0	0	0	0	0	0	3
494	2	0	0	0	0	0	0	1	0	0	0	0	3
495	0	0	0	0	2	0	0	0	0	0	0	0	2
496	2	0	0	1	0	0	0	0	0	0	0	0	3
497	1	0	0	0	1	0	0	0	0	0	0	0	2
498	2	0	0	0	0	0	0	0	0	0	0	0	2
499	1	1	0	0	0	1	0	0	0	0	0	0	3
500	0	0	2	0	0	0	0	0	0	0	0	0	2
501	1	0	0	0	1	0	0	0	0	0	0	0	2
502	0	0	1	0	1	0	0	0	0	0	0	0	2
503	2	0	0	0	2	0	0	0	0	0	0	0	4
