motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	39	0.6218	0.0416	0.0186	0.3373	0.0265	0.0119	2.0197	0.1103	0.0493
2	+-	40	0.5744	0.0324	0.0145	0.2899	0.0169	0.0076	1.9869	0.1107	0.0495
2	+-	41	0.6395	0.0328	0.0147	0.355	0.0178	0.008	2.032	0.1102	0.0493
2	+-	42	0.5558	0.0377	0.0169	0.2713	0.023	0.0103	1.974	0.1119	0.0501
2	+-	43	0.5928	0.0362	0.0162	0.3083	0.0213	0.0095	1.9996	0.1089	0.0487
2	+-	44	0.5672	0.0347	0.0155	0.2828	0.0187	0.0084	1.9819	0.1131	0.0506
2	+-	45	0.6075	0.0293	0.0131	0.3231	0.0156	0.007	2.0098	0.1066	0.0477
2	+-	46	0.5476	0.0376	0.0168	0.2631	0.0218	0.0097	1.9683	0.1126	0.0504
2	+-	47	0.5994	0.0406	0.0181	0.3149	0.0254	0.0114	2.0042	0.1117	0.0499
2	+-	48	0.58	0.0327	0.0146	0.2955	0.0168	0.0075	1.9907	0.1112	0.0497
2	+-	49	0.6288	0.0335	0.015	0.3443	0.0207	0.0092	2.0245	0.1049	0.0469
2	+-	50	0.5857	0.0345	0.0154	0.3012	0.0189	0.0085	1.9947	0.1118	0.05
2	-+	0	0.7023	0.0926	0.0414	0.4178	0.0862	0.0385	2.0755	0.1165	0.0521
2	-+	1	0.3683	0.0175	0.0078	0.0838	0.0297	0.0133	1.844	0.1043	0.0466
2	-+	2	0.386	0.0616	0.0275	0.1015	0.0478	0.0214	1.8563	0.1136	0.0508
2	-+	3	0.6795	0.0577	0.0258	0.395	0.0507	0.0227	2.0597	0.112	0.0501
2	-+	4	0.6225	0.0125	0.0056	0.338	0.017	0.0076	2.0202	0.101	0.0452
2	-+	5	0.6727	0.0811	0.0363	0.3882	0.0912	0.0408	2.055	0.0685	0.0306
2	-+	6	0.6134	0.0351	0.0157	0.329	0.0231	0.0103	2.0139	0.1109	0.0496
2	-+	7	0.652	0.0686	0.0307	0.3675	0.0717	0.0321	2.0406	0.0968	0.0433
2	-+	8	0.5934	0.0409	0.0183	0.3089	0.0267	0.012	2.0001	0.1187	0.0531
2	-+	9	0.7305	0.0557	0.0249	0.446	0.0585	0.0262	2.0951	0.0847	0.0379
2	-+	10	0.5606	0.0296	0.0132	0.2761	0.0156	0.007	1.9773	0.118	0.0528
2	-+	11	0.6359	0.0424	0.019	0.3514	0.0372	0.0166	2.0295	0.0924	0.0413
2	-+	12	0.5807	0.0388	0.0174	0.2962	0.0242	0.0108	1.9912	0.1123	0.0502
2	-+	13	0.6444	0.0377	0.0168	0.3599	0.0335	0.015	2.0354	0.0905	0.0405
2	-+	14	0.5882	0.0384	0.0172	0.3037	0.0232	0.0104	1.9964	0.1101	0.0492
2	-+	15	0.6463	0.0398	0.0178	0.3618	0.0255	0.0114	2.0367	0.1132	0.0506
2	-+	16	0.5746	0.0438	0.0196	0.2901	0.0283	0.0126	1.987	0.1167	0.0522
2	-+	17	0.6214	0.0333	0.0149	0.3369	0.0261	0.0117	2.0194	0.096	0.0429
2	-+	18	0.5908	0.0337	0.0151	0.3063	0.0214	0.0096	1.9982	0.1093	0.0489
2	-+	19	0.6521	0.0368	0.0165	0.3676	0.024	0.0107	2.0407	0.1065	0.0476
2	-+	20	0.579	0.0418	0.0187	0.2945	0.0267	0.0119	1.9901	0.1115	0.0498
2	-+	21	0.6166	0.0265	0.0118	0.3321	0.0209	0.0094	2.0161	0.1016	0.0454
