motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	++	49	0.1659	0.0071	0.0032	0.0785	0.0044	0.002	1.7183	0.104	0.0465	0.0009	0.0053	0.0024	0.1561	0.0053	0.0024
2	++	50	0.1506	0.0121	0.0054	0.0633	0.0076	0.0034	1.7077	0.1071	0.0479	-0.0143	0.0086	0.0039	0.1409	0.0077	0.0034
2	+-	0	0.1815	0.0109	0.0049	0.0941	0.0108	0.0048	1.7291	0.1034	0.0462	0.0165	0.0117	0.0052	0.1717	0.0106	0.0047
2	+-	1	0.1947	0.0221	0.0099	0.1073	0.0182	0.0081	1.7382	0.1091	0.0488	0.0297	0.0191	0.0085	0.185	0.0178	0.0079
2	+-	2	0.1749	0.0099	0.0044	0.0875	0.0102	0.0046	1.7245	0.0997	0.0446	0.0099	0.0128	0.0057	0.1652	0.0079	0.0035
2	+-	3	0.2101	0.0147	0.0066	0.1227	0.0191	0.0085	1.7489	0.093	0.0416	0.0451	0.0197	0.0088	0.2003	0.0189	0.0084
2	+-	4	0.2198	0.0178	0.008	0.1325	0.0152	0.0068	1.7556	0.1063	0.0475	0.0549	0.0163	0.0073	0.2101	0.0147	0.0066
2	+-	5	0.2027	0.0102	0.0046	0.1153	0.0074	0.0033	1.7438	0.1038	0.0464	0.0377	0.0097	0.0043	0.1929	0.0058	0.0026
2	+-	6	0.1989	0.0231	0.0103	0.1116	0.0201	0.009	1.7412	0.1045	0.0467	0.034	0.0223	0.01	0.1892	0.0183	0.0082
2	+-	7	0.2046	0.0167	0.0075	0.1173	0.0126	0.0057	1.7451	0.1074	0.048	0.0396	0.0139	0.0062	0.1949	0.0121	0.0054
2	+-	8	0.2022	0.0161	0.0072	0.1149	0.0133	0.006	1.7435	0.1052	0.0471	0.0373	0.0152	0.0068	0.1925	0.0119	0.0053
2	+-	9	0.1989	0.016	0.0072	0.1116	0.0117	0.0052	1.7412	0.1098	0.0491	0.034	0.012	0.0054	0.1892	0.0123	0.0055
2	+-	10	0.1975	0.0142	0.0063	0.1101	0.0115	0.0051	1.7401	0.1042	0.0466	0.0325	0.0135	0.006	0.1877	0.0099	0.0044
2	+-	11	0.1909	0.0083	0.0037	0.1035	0.0037	0.0017	1.7356	0.1059	0.0474	0.0259	0.0052	0.0023	0.1812	0.0043	0.0019
2	+-	12	0.1836	0.0113	0.0051	0.0963	0.0103	0.0046	1.7305	0.1026	0.0459	0.0186	0.0125	0.0056	0.1739	0.0087	0.0039
2	+-	13	0.1871	0.0143	0.0064	0.0998	0.0102	0.0045	1.733	0.1066	0.0477	0.0222	0.0122	0.0054	0.1774	0.0088	0.0039
2	+-	14	0.1932	0.0157	0.007	0.1058	0.0122	0.0055	1.7372	0.1078	0.0482	0.0282	0.013	0.0058	0.1834	0.0121	0.0054
2	+-	15	0.1868	0.0118	0.0053	0.0994	0.0072	0.0032	1.7328	0.1072	0.0479	0.0218	0.0085	0.0038	0.1771	0.0071	0.0032
2	+-	16	0.1782	0.0168	0.0075	0.0908	0.013	0.0058	1.7268	0.1069	0.0478	0.0132	0.0147	0.0066	0.1684	0.0118	0.0053
2	+-	17	0.1714	0.014	0.0063	0.0841	0.01	0.0045	1.7221	0.1063	0.0475	0.0065	0.0117	0.0052	0.1617	0.0089	0.004
