motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	-+	0	0.2296	0.0604	0.027	0.0264	0.0597	0.0267	1.2466	0.1169	0.0523
2	-+	1	0.3361	0.0097	0.0044	0.133	0.0198	0.0088	1.3204	0.0996	0.0445
2	-+	2	0.2535	0.0406	0.0182	0.0503	0.0316	0.0141	1.2631	0.1221	0.0546
2	-+	3	0.3327	0.0357	0.016	0.1296	0.0402	0.018	1.3181	0.0924	0.0413
2	-+	4	0.369	0.0479	0.0214	0.1658	0.0429	0.0192	1.3432	0.1231	0.0551
2	-+	5	0.3446	0.0373	0.0167	0.1414	0.0378	0.0169	1.3263	0.1039	0.0464
2	-+	6	0.222	0.0249	0.0111	0.0189	0.0194	0.0087	1.2413	0.1165	0.0521
2	-+	7	0.2458	0.0329	0.0147	0.0426	0.0244	0.0109	1.2578	0.1217	0.0544
2	-+	8	0.324	0.0398	0.0178	0.1209	0.0318	0.0142	1.312	0.1255	0.0561
2	-+	9	0.3536	0.0244	0.0109	0.1505	0.0231	0.0103	1.3325	0.1068	0.0478
2	-+	10	0.2557	0.0448	0.02	0.0526	0.034	0.0152	1.2647	0.1318	0.0589
2	-+	11	0.3234	0.0289	0.0129	0.1203	0.0183	0.0082	1.3116	0.121	0.0541
2	-+	12	0.2642	0.0256	0.0114	0.0611	0.0145	0.0065	1.2706	0.1192	0.0533
2	-+	13	0.3085	0.031	0.0139	0.1054	0.0213	0.0095	1.3013	0.1234	0.0552
2	-+	14	0.2929	0.021	0.0094	0.0898	0.0105	0.0047	1.2905	0.1149	0.0514
2	-+	15	0.3488	0.0321	0.0143	0.1456	0.0219	0.0098	1.3292	0.1233	0.0552
2	-+	16	0.3426	0.0207	0.0093	0.1395	0.0098	0.0044	1.3249	0.115	0.0514
2	-+	17	0.3592	0.0255	0.0114	0.1561	0.0156	0.007	1.3364	0.1194	0.0534
2	-+	18	0.3656	0.028	0.0125	0.1625	0.0188	0.0084	1.3409	0.1189	0.0532
2	-+	19	0.3845	0.0266	0.0119	0.1813	0.0159	0.0071	1.3539	0.1195	0.0534
2	-+	20	0.384	0.031	0.0139	0.1809	0.0205	0.0092	1.3536	0.1218	0.0545
2	-+	21	0.3838	0.0243	0.0109	0.1807	0.0137	0.0061	1.3535	0.1192	0.0533
2	-+	22	0.3943	0.0307	0.0137	0.1912	0.0198	0.0089	1.3607	0.1217	0.0544
2	-+	23	0.3914	0.0223	0.01	0.1883	0.0115	0.0052	1.3587	0.1179	0.0527
2	-+	24	0.4093	0.0236	0.0106	0.2062	0.0129	0.0058	1.3712	0.1175	0.0526
2	-+	25	0.4198	0.0219	0.0098	0.2167	0.0112	0.005	1.3784	0.1176	0.0526
2	-+	26	0.433	0.0263	0.0118	0.2299	0.0151	0.0068	1.3876	0.1189	0.0532
2	-+	27	0.4003	0.0195	0.0087	0.1972	0.0088	0.0039	1.3649	0.116	0.0519
2	-+	28	0.4352	0.0227	0.0102	0.2321	0.0114	0.0051	1.3891	0.1171	0.0524
2	-+	29	0.4096	0.024	0.0107	0.2065	0.0142	0.0063	1.3714	0.119	0.0532
2	-+	30	0.4357	0.0267	0.0119	0.2325	0.0162	0.0073	1.3894	0.1195	0.0535
2	-+	31	0.3914	0.02	0.0089	0.1883	0.0102	0.0045	1.3587	0.1163	0.052
2	-+	32	0.4231	0.0213	0.0095	0.22	0.0106	0.0047	1.3807	0.1162	0.052
2	-+	33	0.384	0.0162	0.0073	0.1809	0.0051	0.0023	1.3536	0.1137	0.0508
2	-+	34	0.4391	0.0261	0.0117	0.236	0.0167	0.0074	1.3918	0.1163	0.052
2	-+	35	0.3966	0.0145	0.0065	0.1935	0.0032	0.0014	1.3624	0.1121	0.0501
2	-+	36	0.4199	0.0247	0.011	0.2167	0.0131	0.0058	1.3785	0.1185	0.053
2	-+	37	0.3898	0.0202	0.009	0.1867	0.0105	0.0047	1.3577	0.1163	0.052
2	-+	38	0.4391	0.0257	0.0115	0.2359	0.0141	0.0063	1.3918	0.1192	0.0533
2	-+	39	0.4114	0.0185	0.0083	0.2083	0.0087	0.0039	1.3726	0.1152	0.0515
2	-+	40	0.4559	0.0248	0.0111	0.2528	0.0136	0.0061	1.4035	0.118	0.0528
2	-+	41	0.4236	0.0194	0.0087	0.2205	0.0077	0.0035	1.3811	0.1156	0.0517
2	-+	42	0.4568	0.0317	0.0142	0.2537	0.0206	0.0092	1.404	0.122	0.0545
2	-+	43	0.3874	0.019	0.0085	0.1843	0.0075	0.0034	1.356	0.1152	0.0515
2	-+	44	0.4299	0.0247	0.011	0.2268	0.0131	0.0058	1.3854	0.1183	0.0529
2	-+	45	0.419	0.0229	0.0103	0.2159	0.0121	0.0054	1.3779	0.1184	0.0529
2	-+	46	0.4434	0.0278	0.0124	0.2403	0.0168	0.0075	1.3948	0.1202	0.0538
2	-+	47	0.4012	0.019	0.0085	0.1981	0.0081	0.0036	1.3655	0.1153	0.0516
2	-+	48	0.4486	0.0271	0.0121	0.2455	0.016	0.0072	1.3984	0.1193	0.0534
2	-+	49	0.4196	0.0226	0.0101	0.2165	0.0122	0.0055	1.3783	0.117	0.0523
2	-+	50	0.4529	0.0307	0.0137	0.2498	0.0206	0.0092	1.4014	0.1203	0.0538
3	+++	0	0.9457	0.0556	0.0248	0.7425	0.056	0.025	1.7429	0.1028	0.046
3	+++	1	0.5379	0.0605	0.0271	0.3347	0.0491	0.0219	1.4602	0.1426	0.0638
3	+++	2	0.4294	0.0442	0.0198	0.2263	0.0481	0.0215	1.3851	0.0913	0.0408
3	+++	3	0.6398	0.0364	0.0163	0.4367	0.0262	0.0117	1.5309	0.1237	0.0553
3	+++	4	0.5825	0.0272	0.0122	0.3794	0.021	0.0094	1.4912	0.1156	0.0517
3	+++	5	0.477	0.0287	0.0128	0.2739	0.0223	0.01	1.4181	0.1157	0.0518
3	+++	6	0.4854	0.0202	0.009	0.2823	0.0128	0.0057	1.4239	0.1153	0.0515
3	+++	7	0.5376	0.0515	0.023	0.3344	0.0434	0.0194	1.46	0.131	0.0586
3	+++	8	0.4571	0.042	0.0188	0.254	0.0339	0.0152	1.4043	0.1294	0.0579
3	+++	9	0.3991	0.0416	0.0186	0.196	0.0307	0.0137	1.3641	0.1271	0.0569
3	+++	10	0.471	0.0314	0.0141	0.2679	0.0233	0.0104	1.4139	0.1207	0.054
3	+++	11	0.404	0.0247	0.011	0.2009	0.018	0.008	1.3675	0.1178	0.0527
3	+++	12	0.505	0.0412	0.0184	0.3018	0.0308	0.0138	1.4374	0.1283	0.0574
3	+++	13	0.4874	0.0245	0.011	0.2843	0.0143	0.0064	1.4253	0.116	0.0519
3	+++	14	0.5237	0.0412	0.0184	0.3206	0.0302	0.0135	1.4504	0.1307	0.0585
3	+++	15	0.51	0.0236	0.0106	0.3069	0.0165	0.0074	1.4409	0.1142	0.0511
3	+++	16	0.5566	0.0373	0.0167	0.3535	0.0261	0.0117	1.4733	0.1263	0.0565
3	+++	17	0.5826	0.0214	0.0096	0.3795	0.0142	0.0063	1.4913	0.112	0.0501
3	+++	18	0.6067	0.0294	0.0131	0.4035	0.0179	0.008	1.5079	0.1218	0.0545
3	+++	19	0.5672	0.0218	0.0097	0.3641	0.0107	0.0048	1.4806	0.1175	0.0525
3	+++	20	0.6119	0.0325	0.0146	0.4088	0.0215	0.0096	1.5116	0.1238	0.0554
3	+++	21	0.6032	0.0287	0.0128	0.4001	0.0182	0.0082	1.5055	0.1198	0.0536
3	+++	22	0.6138	0.0276	0.0123	0.4107	0.0164	0.0073	1.5129	0.1211	0.0542
3	+++	23	0.6091	0.0272	0.0122	0.406	0.0169	0.0076	1.5097	0.1212	0.0542
3	+++	24	0.6166	0.0257	0.0115	0.4135	0.0147	0.0066	1.5148	0.1197	0.0535
3	+++	25	0.6352	0.0251	0.0112	0.4321	0.0137	0.0061	1.5278	0.1186	0.053
3	+++	26	0.6202	0.0258	0.0116	0.417	0.0151	0.0067	1.5173	0.1203	0.0538
3	+++	27	0.6367	0.0276	0.0123	0.4336	0.0169	0.0076	1.5288	0.1214	0.0543
3	+++	28	0.6223	0.0258	0.0115	0.4192	0.0145	0.0065	1.5188	0.1197	0.0535
3	+++	29	0.6489	0.0278	0.0124	0.4457	0.0169	0.0076	1.5372	0.1194	0.0534
3	+++	30	0.6487	0.0264	0.0118	0.4456	0.0147	0.0066	1.5371	0.1201	0.0537
3	+++	31	0.6486	0.0288	0.0129	0.4455	0.0176	0.0079	1.537	0.1218	0.0545
3	+++	32	0.6108	0.0252	0.0113	0.4076	0.0146	0.0065	1.5108	0.1173	0.0525
3	+++	33	0.642	0.0282	0.0126	0.4389	0.0173	0.0077	1.5325	0.1195	0.0534
3	+++	34	0.6259	0.0253	0.0113	0.4228	0.0137	0.0061	1.5213	0.1196	0.0535
3	+++	35	0.6565	0.0289	0.0129	0.4534	0.0176	0.0079	1.5425	0.1217	0.0544
3	+++	36	0.5982	0.0282	0.0126	0.3951	0.0172	0.0077	1.5021	0.1205	0.0539
3	+++	37	0.6401	0.0312	0.0139	0.437	0.02	0.0089	1.5311	0.122	0.0546
3	+++	38	0.6179	0.0278	0.0125	0.4148	0.0162	0.0072	1.5158	0.1208	0.054
3	+++	39	0.65	0.0348	0.0156	0.4469	0.0234	0.0104	1.538	0.1254	0.0561
3	+++	40	0.615	0.028	0.0125	0.4119	0.0172	0.0077	1.5137	0.1204	0.0539
3	+++	41	0.6457	0.0338	0.0151	0.4425	0.0222	0.0099	1.535	0.1241	0.0555
3	+++	42	0.607	0.0262	0.0117	0.4039	0.0156	0.007	1.5082	0.1195	0.0534
3	+++	43	0.648	0.0285	0.0127	0.4449	0.0176	0.0079	1.5366	0.1216	0.0544
3	+++	44	0.6194	0.0278	0.0124	0.4163	0.0175	0.0078	1.5168	0.1201	0.0537
3	+++	45	0.6473	0.0317	0.0142	0.4441	0.021	0.0094	1.5361	0.1213	0.0542
3	+++	46	0.6047	0.0224	0.01	0.4015	0.0118	0.0053	1.5066	0.1159	0.0518
3	+++	47	0.6296	0.0319	0.0143	0.4265	0.0208	0.0093	1.5238	0.123	0.055
3	+++	48	0.6077	0.0284	0.0127	0.4046	0.017	0.0076	1.5086	0.1212	0.0542
3	+++	49	0.6344	0.0293	0.0131	0.4313	0.0182	0.0081	1.5272	0.121	0.0541
3	+++	50	0.606	0.0273	0.0122	0.4029	0.0161	0.0072	1.5075	0.12	0.0537
3	++-	0	0.6418	0.062	0.0277	0.4387	0.0505	0.0226	1.5323	0.1421	0.0635
3	++-	1	0.5035	0.0323	0.0145	0.3004	0.029	0.013	1.4364	0.1152	0.0515
3	++-	2	0.5645	0.0433	0.0193	0.3614	0.0346	0.0155	1.4787	0.1232	0.0551
3	++-	3	0.6315	0.053	0.0237	0.4283	0.0433	0.0194	1.5251	0.1321	0.0591
3	++-	4	0.6497	0.041	0.0183	0.4466	0.0325	0.0145	1.5378	0.1266	0.0566
3	++-	5	0.5347	0.0393	0.0176	0.3316	0.0315	0.0141	1.4581	0.1207	0.054
3	++-	6	0.5499	0.0235	0.0105	0.3468	0.0254	0.0114	1.4686	0.1038	0.0464
3	++-	7	0.5899	0.0316	0.0141	0.3868	0.0209	0.0093	1.4963	0.122	0.0546
3	++-	8	0.5079	0.0331	0.0148	0.3048	0.0256	0.0115	1.4395	0.123	0.055
3	++-	9	0.4941	0.0317	0.0142	0.291	0.0208	0.0093	1.4299	0.1218	0.0545
3	++-	10	0.4924	0.0281	0.0126	0.2893	0.0187	0.0084	1.4287	0.1203	0.0538
3	++-	11	0.4693	0.0205	0.0092	0.2661	0.0118	0.0053	1.4127	0.1132	0.0506
3	++-	12	0.5235	0.0268	0.012	0.3204	0.0164	0.0073	1.4503	0.1186	0.0531
3	++-	13	0.539	0.0217	0.0097	0.3359	0.0118	0.0053	1.461	0.1158	0.0518
3	++-	14	0.5611	0.0267	0.0119	0.3579	0.0174	0.0078	1.4763	0.1202	0.0537
3	++-	15	0.5573	0.0199	0.0089	0.3542	0.0102	0.0046	1.4738	0.1141	0.051
3	++-	16	0.5686	0.0277	0.0124	0.3655	0.018	0.008	1.4816	0.1207	0.054
3	++-	17	0.5995	0.0188	0.0084	0.3964	0.0074	0.0033	1.503	0.1152	0.0515
3	++-	18	0.5816	0.0214	0.0096	0.3785	0.0115	0.0051	1.4906	0.1171	0.0524
3	++-	19	0.5997	0.0253	0.0113	0.3966	0.0143	0.0064	1.5031	0.1186	0.053
3	++-	20	0.5951	0.0282	0.0126	0.392	0.0166	0.0074	1.4999	0.1215	0.0544
3	++-	21	0.6031	0.0234	0.0104	0.4	0.0121	0.0054	1.5055	0.1182	0.0529
3	++-	22	0.6102	0.025	0.0112	0.407	0.0149	0.0066	1.5104	0.1196	0.0535
3	++-	23	0.6213	0.0265	0.0118	0.4182	0.0153	0.0068	1.5181	0.1208	0.054
3	++-	24	0.6342	0.031	0.0139	0.431	0.0207	0.0093	1.527	0.1237	0.0553
3	++-	25	0.6315	0.0251	0.0112	0.4283	0.0143	0.0064	1.5251	0.1194	0.0534
3	++-	26	0.6257	0.0263	0.0118	0.4226	0.0168	0.0075	1.5211	0.1204	0.0539
3	++-	27	0.6218	0.0289	0.0129	0.4187	0.0176	0.0079	1.5184	0.1213	0.0542
3	++-	28	0.6263	0.0329	0.0147	0.4232	0.0213	0.0095	1.5216	0.1248	0.0558
3	++-	29	0.6419	0.0271	0.0121	0.4388	0.0155	0.0069	1.5324	0.1202	0.0537
3	++-	30	0.6411	0.0302	0.0135	0.438	0.0186	0.0083	1.5318	0.1224	0.0547
3	++-	31	0.6304	0.0285	0.0127	0.4273	0.017	0.0076	1.5244	0.1206	0.0539
3	++-	32	0.61	0.0293	0.0131	0.4069	0.0176	0.0079	1.5103	0.1221	0.0546
3	++-	33	0.6521	0.0256	0.0114	0.449	0.0138	0.0062	1.5394	0.1195	0.0534
3	++-	34	0.6195	0.0298	0.0133	0.4164	0.0183	0.0082	1.5169	0.1224	0.0547
3	++-	35	0.6415	0.0268	0.012	0.4383	0.0155	0.0069	1.5321	0.1196	0.0535
3	++-	36	0.6189	0.0312	0.0139	0.4158	0.0198	0.0089	1.5164	0.1227	0.0549
3	++-	37	0.6326	0.0285	0.0127	0.4294	0.0169	0.0076	1.5259	0.1212	0.0542
3	++-	38	0.6265	0.0314	0.014	0.4234	0.0201	0.009	1.5217	0.1227	0.0549
3	++-	39	0.6492	0.0326	0.0146	0.4461	0.021	0.0094	1.5374	0.1238	0.0554
3	++-	40	0.6209	0.0331	0.0148	0.4178	0.0216	0.0096	1.5178	0.1246	0.0557
3	++-	41	0.6344	0.0338	0.0151	0.4313	0.0223	0.01	1.5272	0.1242	0.0555
3	++-	42	0.6258	0.0292	0.0131	0.4227	0.0178	0.008	1.5212	0.1217	0.0544
3	++-	43	0.6486	0.0284	0.0127	0.4455	0.0173	0.0077	1.537	0.1213	0.0543
3	++-	44	0.6359	0.0353	0.0158	0.4328	0.0241	0.0108	1.5282	0.1252	0.056
3	++-	45	0.649	0.035	0.0156	0.4459	0.024	0.0107	1.5373	0.1242	0.0555
3	++-	46	0.6295	0.0311	0.0139	0.4264	0.0203	0.0091	1.5238	0.1217	0.0544
3	++-	47	0.6521	0.0301	0.0135	0.449	0.0191	0.0085	1.5395	0.1212	0.0542
3	++-	48	0.616	0.0311	0.0139	0.4129	0.0194	0.0087	1.5144	0.1232	0.0551
3	++-	49	0.65	0.0323	0.0144	0.4469	0.0213	0.0095	1.538	0.1229	0.055
3	++-	50	0.6182	0.0356	0.0159	0.4151	0.0245	0.011	1.5159	0.125	0.0559
3	+-+	0	0.2933	0.0473	0.0211	0.0902	0.0458	0.0205	1.2907	0.1106	0.0494
3	+-+	1	0.408	0.0313	0.014	0.2049	0.0362	0.0162	1.3702	0.102	0.0456
3	+-+	2	0.4431	0.0846	0.0379	0.2399	0.0743	0.0332	1.3945	0.1512	0.0676
3	+-+	3	0.4257	0.0271	0.0121	0.2226	0.0327	0.0146	1.3825	0.0998	0.0446
3	+-+	4	0.5326	0.0604	0.027	0.3294	0.0543	0.0243	1.4566	0.1308	0.0585
3	+-+	5	0.4898	0.0531	0.0237	0.2867	0.0494	0.0221	1.4269	0.1141	0.051
3	+-+	6	0.3869	0.0107	0.0048	0.1838	0.0029	0.0013	1.3556	0.1099	0.0492
3	+-+	7	0.4437	0.048	0.0214	0.2406	0.0398	0.0178	1.395	0.1305	0.0584
3	+-+	8	0.4811	0.0464	0.0208	0.278	0.0377	0.0168	1.4209	0.1308	0.0585
3	+-+	9	0.5229	0.017	0.0076	0.3198	0.0105	0.0047	1.4499	0.1108	0.0496
3	+-+	10	0.4138	0.048	0.0215	0.2106	0.0374	0.0167	1.3742	0.1341	0.06
3	+-+	11	0.5096	0.0389	0.0174	0.3065	0.0283	0.0127	1.4407	0.1256	0.0562
