motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	+-	17	0.4838	0.0297	0.0133	0.2678	0.0212	0.0095	1.9334	0.1129	0.0505	0.3214	0.0257	0.0115	0.2143	0.0184	0.0082
2	+-	18	0.4938	0.0226	0.0101	0.2778	0.0111	0.005	1.9403	0.113	0.0505	0.3314	0.0174	0.0078	0.2243	0.007	0.0031
2	+-	19	0.4824	0.027	0.0121	0.2664	0.0187	0.0084	1.9324	0.1156	0.0517	0.32	0.0223	0.01	0.2128	0.0175	0.0078
2	+-	20	0.4807	0.0311	0.0139	0.2647	0.0208	0.0093	1.9313	0.12	0.0537	0.3183	0.0254	0.0114	0.2112	0.0179	0.008
2	+-	21	0.4617	0.026	0.0116	0.2457	0.0155	0.0069	1.9181	0.1081	0.0483	0.2993	0.0226	0.0101	0.1921	0.0085	0.0038
2	+-	22	0.5048	0.0241	0.0108	0.2888	0.0131	0.0059	1.9479	0.1139	0.0509	0.3423	0.0188	0.0084	0.2352	0.0098	0.0044
2	+-	23	0.4883	0.0311	0.0139	0.2723	0.0202	0.009	1.9365	0.1163	0.052	0.3259	0.0258	0.0116	0.2188	0.0158	0.0071
2	+-	24	0.5031	0.0377	0.0168	0.2871	0.0271	0.0121	1.9468	0.1227	0.0549	0.3407	0.0321	0.0144	0.2336	0.0232	0.0104
2	+-	25	0.4844	0.0265	0.0119	0.2684	0.0159	0.0071	1.9338	0.1082	0.0484	0.3219	0.0231	0.0103	0.2148	0.0088	0.0039
2	+-	26	0.4964	0.0269	0.012	0.2804	0.0172	0.0077	1.9421	0.1154	0.0516	0.334	0.0217	0.0097	0.2268	0.0149	0.0067
2	+-	27	0.4837	0.0214	0.0096	0.2677	0.011	0.0049	1.9333	0.113	0.0505	0.3213	0.0162	0.0073	0.2141	0.0091	0.0041
2	+-	28	0.5057	0.0316	0.0141	0.2897	0.0214	0.0096	1.9486	0.1158	0.0518	0.3433	0.0268	0.012	0.2362	0.0174	0.0078
2	+-	29	0.4933	0.0381	0.017	0.2773	0.0267	0.0119	1.9399	0.115	0.0514	0.3308	0.0337	0.0151	0.2237	0.0197	0.0088
2	+-	30	0.4945	0.0277	0.0124	0.2785	0.0186	0.0083	1.9408	0.1114	0.0498	0.3321	0.0238	0.0107	0.2249	0.0152	0.0068
2	+-	31	0.4886	0.0243	0.0109	0.2726	0.0128	0.0057	1.9367	0.1129	0.0505	0.3262	0.0193	0.0086	0.219	0.0076	0.0034
2	+-	32	0.5083	0.0292	0.0131	0.2923	0.0193	0.0086	1.9504	0.1176	0.0526	0.3459	0.0239	0.0107	0.2388	0.0166	0.0074
2	+-	33	0.505	0.023	0.0103	0.289	0.0134	0.006	1.9481	0.1076	0.0481	0.3426	0.0199	0.0089	0.2354	0.0082	0.0037
2	+-	34	0.5201	0.0236	0.0105	0.3041	0.0134	0.006	1.9586	0.1093	0.0489	0.3577	0.0196	0.0087	0.2506	0.0089	0.004
2	+-	35	0.4899	0.02	0.0089	0.2739	0.0096	0.0043	1.9376	0.1105	0.0494	0.3274	0.0155	0.0069	0.2203	0.007	0.0031
2	+-	36	0.4882	0.0284	0.0127	0.2722	0.0178	0.008	1.9365	0.1179	0.0527	0.3258	0.0228	0.0102	0.2187	0.0147	0.0066
2	+-	37	0.4644	0.0237	0.0106	0.2484	0.0131	0.0059	1.9199	0.1133	0.0507	0.3019	0.019	0.0085	0.1948	0.0093	0.0042
2	+-	38	0.4877	0.0246	0.011	0.2717	0.0149	0.0067	1.9361	0.1149	0.0514	0.3252	0.0195	0.0087	0.2181	0.0131	0.0059
2	+-	39	0.4826	0.0299	0.0134	0.2666	0.0188	0.0084	1.9325	0.1141	0.051	0.3201	0.0254	0.0113	0.213	0.0129	0.0057
2	+-	40	0.4836	0.0258	0.0115	0.2676	0.0151	0.0068	1.9332	0.1153	0.0516	0.3212	0.0208	0.0093	0.214	0.0115	0.0051
2	+-	41	0.4709	0.019	0.0085	0.2549	0.0093	0.0042	1.9245	0.1072	0.048	0.3085	0.0159	0.0071	0.2014	0.0049	0.0022
2	+-	42	0.5051	0.0224	0.01	0.2891	0.0112	0.005	1.9481	0.1108	0.0496	0.3427	0.0178	0.0079	0.2355	0.0064	0.0029
2	+-	43	0.4968	0.0225	0.0101	0.2808	0.0128	0.0057	1.9424	0.1118	0.05	0.3344	0.0182	0.0081	0.2272	0.01	0.0045
2	+-	44	0.4985	0.0272	0.0122	0.2825	0.0162	0.0073	1.9435	0.1156	0.0517	0.336	0.022	0.0098	0.2289	0.0122	0.0054
2	+-	45	0.4872	0.0255	0.0114	0.2712	0.015	0.0067	1.9357	0.1103	0.0493	0.3248	0.0217	0.0097	0.2176	0.009	0.004
2	+-	46	0.4963	0.0213	0.0095	0.2803	0.0119	0.0053	1.942	0.1091	0.0488	0.3338	0.0177	0.0079	0.2267	0.0085	0.0038
2	+-	47	0.4813	0.0183	0.0082	0.2653	0.0072	0.0032	1.9317	0.1103	0.0493	0.3189	0.0137	0.0061	0.2117	0.0045	0.002
2	+-	48	0.4716	0.0228	0.0102	0.2556	0.0127	0.0057	1.925	0.1135	0.0507	0.3092	0.0178	0.008	0.2021	0.0106	0.0047
2	+-	49	0.4835	0.0239	0.0107	0.2675	0.0133	0.006	1.9332	0.1099	0.0492	0.3211	0.0201	0.009	0.2139	0.0076	0.0034
2	+-	50	0.4909	0.0233	0.0104	0.2749	0.0117	0.0052	1.9383	0.1121	0.0501	0.3284	0.0184	0.0082	0.2213	0.006	0.0027
2	-+	0	0.4464	0.075	0.0335	0.2304	0.0673	0.0301	1.9074	0.1141	0.051	0.284	0.0732	0.0327	0.1768	0.0616	0.0275
