motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	+-	17	0.5124	0.0556	0.0249	0.2966	0.0445	0.0199	5.3385	0.1866	0.0835	0.3767	0.0362	0.0162	0.2164	0.0574	0.0257
2	+-	18	0.5264	0.0575	0.0257	0.3106	0.046	0.0206	5.3482	0.1847	0.0826	0.3907	0.039	0.0174	0.2304	0.0578	0.0259
2	+-	19	0.517	0.0533	0.0238	0.3012	0.0436	0.0195	5.3417	0.1895	0.0847	0.3814	0.0347	0.0155	0.2211	0.0569	0.0254
2	+-	20	0.527	0.0617	0.0276	0.3112	0.0493	0.0221	5.3487	0.1887	0.0844	0.3914	0.0441	0.0197	0.231	0.0596	0.0266
2	+-	21	0.499	0.046	0.0206	0.2832	0.035	0.0156	5.3292	0.1812	0.081	0.3633	0.0272	0.0122	0.203	0.0483	0.0216
2	+-	22	0.5193	0.0507	0.0227	0.3035	0.0383	0.0171	5.3433	0.1819	0.0813	0.3837	0.0342	0.0153	0.2233	0.049	0.0219
2	+-	23	0.4976	0.0445	0.0199	0.2818	0.0339	0.0152	5.3282	0.1845	0.0825	0.3619	0.0295	0.0132	0.2016	0.0454	0.0203
2	+-	24	0.5076	0.0428	0.0191	0.2918	0.0305	0.0137	5.3352	0.179	0.0801	0.372	0.0264	0.0118	0.2117	0.0424	0.019
2	+-	25	0.4938	0.0501	0.0224	0.2781	0.0395	0.0177	5.3257	0.1858	0.0831	0.3582	0.0313	0.014	0.1979	0.0527	0.0236
2	+-	26	0.519	0.0519	0.0232	0.3032	0.043	0.0192	5.3431	0.1878	0.084	0.3834	0.0319	0.0143	0.2231	0.0575	0.0257
2	+-	27	0.5257	0.0518	0.0232	0.3099	0.0413	0.0185	5.3478	0.1888	0.0844	0.3901	0.0352	0.0157	0.2298	0.0529	0.0237
2	+-	28	0.5191	0.0464	0.0207	0.3033	0.0356	0.0159	5.3432	0.1836	0.0821	0.3835	0.0288	0.0129	0.2231	0.0484	0.0216
2	+-	29	0.5013	0.0485	0.0217	0.2855	0.0386	0.0172	5.3309	0.1855	0.083	0.3657	0.0296	0.0132	0.2054	0.0522	0.0234
2	+-	30	0.5031	0.0434	0.0194	0.2873	0.0327	0.0146	5.3321	0.1818	0.0813	0.3675	0.0255	0.0114	0.2072	0.0461	0.0206
2	+-	31	0.5006	0.052	0.0233	0.2848	0.0413	0.0185	5.3304	0.1888	0.0844	0.365	0.0354	0.0158	0.2047	0.0529	0.0236
2	+-	32	0.4968	0.045	0.0201	0.281	0.0335	0.015	5.3277	0.1816	0.0812	0.3612	0.0274	0.0123	0.2009	0.0461	0.0206
2	+-	33	0.5034	0.0479	0.0214	0.2876	0.0376	0.0168	5.3323	0.1847	0.0826	0.3677	0.0297	0.0133	0.2074	0.0508	0.0227
2	+-	34	0.5093	0.0432	0.0193	0.2935	0.0322	0.0144	5.3364	0.1789	0.08	0.3736	0.0247	0.011	0.2133	0.0458	0.0205
2	+-	35	0.5041	0.0477	0.0213	0.2883	0.0365	0.0163	5.3328	0.1819	0.0813	0.3684	0.0297	0.0133	0.2081	0.0491	0.022
2	+-	36	0.5221	0.0514	0.023	0.3063	0.0391	0.0175	5.3452	0.1802	0.0806	0.3864	0.0337	0.0151	0.2261	0.0505	0.0226
2	+-	37	0.5231	0.0483	0.0216	0.3073	0.0371	0.0166	5.3459	0.1842	0.0824	0.3875	0.0307	0.0137	0.2271	0.0494	0.0221
2	+-	38	0.5053	0.0463	0.0207	0.2895	0.0344	0.0154	5.3336	0.1808	0.0809	0.3696	0.0298	0.0133	0.2093	0.0459	0.0205
2	+-	39	0.5035	0.0469	0.021	0.2877	0.0348	0.0156	5.3323	0.1829	0.0818	0.3678	0.0308	0.0138	0.2075	0.046	0.0206
2	+-	40	0.5244	0.0496	0.0222	0.3086	0.037	0.0165	5.3469	0.1817	0.0813	0.3888	0.0331	0.0148	0.2285	0.0476	0.0213
2	+-	41	0.51	0.0495	0.0221	0.2942	0.0388	0.0173	5.3368	0.185	0.0827	0.3743	0.0308	0.0138	0.214	0.0518	0.0232
2	+-	42	0.4972	0.0518	0.0232	0.2814	0.0405	0.0181	5.328	0.1832	0.0819	0.3616	0.033	0.0148	0.2012	0.0532	0.0238
2	+-	43	0.4773	0.05	0.0223	0.2615	0.0376	0.0168	5.3142	0.1808	0.0808	0.3416	0.0327	0.0146	0.1813	0.0489	0.0219
2	+-	44	0.4946	0.0462	0.0207	0.2788	0.0342	0.0153	5.3262	0.1751	0.0783	0.3589	0.0295	0.0132	0.1986	0.0458	0.0205
2	+-	45	0.5002	0.0404	0.0181	0.2845	0.0286	0.0128	5.3301	0.1776	0.0794	0.3646	0.0237	0.0106	0.2043	0.0413	0.0185
2	+-	46	0.5104	0.0355	0.0159	0.2946	0.0232	0.0104	5.3371	0.1719	0.0769	0.3747	0.0214	0.0096	0.2144	0.0354	0.0158
2	+-	47	0.5095	0.0348	0.0156	0.2937	0.0236	0.0106	5.3365	0.1753	0.0784	0.3739	0.0182	0.0081	0.2136	0.0376	0.0168
2	+-	48	0.5073	0.0359	0.0161	0.2915	0.0242	0.0108	5.335	0.1725	0.0772	0.3717	0.0193	0.0086	0.2114	0.0378	0.0169
2	+-	49	0.4975	0.0433	0.0194	0.2817	0.032	0.0143	5.3282	0.1791	0.0801	0.3619	0.026	0.0116	0.2015	0.0448	0.02
2	+-	50	0.5034	0.0453	0.0203	0.2876	0.0336	0.015	5.3323	0.1782	0.0797	0.3678	0.0271	0.0121	0.2074	0.0465	0.0208
2	-+	0	0.3527	0.0422	0.0189	0.1369	0.0296	0.0132	5.2278	0.1715	0.0767	0.217	0.04	0.0179	0.0567	0.028	0.0125
2	-+	1	0.3272	0.0502	0.0224	0.1114	0.0454	0.0203	5.2101	0.1493	0.0668	0.1915	0.063	0.0282	0.0312	0.0279	0.0125
2	-+	2	0.4282	0.0409	0.0183	0.2124	0.0333	0.0149	5.2802	0.1523	0.0681	0.2926	0.0501	0.0224	0.1322	0.0183	0.0082
2	-+	3	0.3927	0.0254	0.0114	0.1769	0.0143	0.0064	5.2556	0.1621	0.0725	0.2571	0.0293	0.0131	0.0968	0.0135	0.006
2	-+	4	0.4593	0.0547	0.0245	0.2436	0.0446	0.0199	5.3018	0.1606	0.0718	0.3237	0.0601	0.0269	0.1634	0.0314	0.014
2	-+	5	0.4154	0.0432	0.0193	0.1996	0.0322	0.0144	5.2713	0.1617	0.0723	0.2798	0.0456	0.0204	0.1195	0.0251	0.0112
2	-+	6	0.385	0.0317	0.0142	0.1692	0.0259	0.0116	5.2502	0.1612	0.0721	0.2494	0.0411	0.0184	0.0891	0.0168	0.0075
2	-+	7	0.4099	0.0271	0.0121	0.1941	0.0168	0.0075	5.2675	0.163	0.0729	0.2743	0.033	0.0148	0.114	0.0102	0.0046
2	-+	8	0.4042	0.0503	0.0225	0.1884	0.0448	0.0201	5.2635	0.1458	0.0652	0.2686	0.0617	0.0276	0.1082	0.0292	0.013
2	-+	9	0.4458	0.0574	0.0257	0.23	0.0497	0.0222	5.2923	0.1699	0.076	0.3102	0.0635	0.0284	0.1498	0.0394	0.0176
2	-+	10	0.4658	0.0363	0.0162	0.25	0.0312	0.014	5.3063	0.1496	0.0669	0.3302	0.0479	0.0214	0.1699	0.017	0.0076
2	-+	11	0.4755	0.0546	0.0244	0.2597	0.0476	0.0213	5.3129	0.1694	0.0757	0.3399	0.0605	0.0271	0.1795	0.0386	0.0173
2	-+	12	0.5244	0.0575	0.0257	0.3086	0.0507	0.0227	5.3468	0.1517	0.0679	0.3888	0.0658	0.0294	0.2284	0.038	0.017
2	-+	13	0.5273	0.0498	0.0223	0.3115	0.0397	0.0178	5.3489	0.1677	0.075	0.3917	0.0537	0.024	0.2313	0.0301	0.0135
2	-+	14	0.5394	0.0474	0.0212	0.3236	0.0409	0.0183	5.3572	0.1521	0.068	0.4038	0.0579	0.0259	0.2434	0.0251	0.0112
2	-+	15	0.5145	0.0508	0.0227	0.2987	0.0402	0.018	5.34	0.171	0.0765	0.3788	0.0539	0.0241	0.2185	0.031	0.0138
2	-+	16	0.54	0.061	0.0273	0.3242	0.0521	0.0233	5.3576	0.1541	0.0689	0.4044	0.0678	0.0303	0.244	0.0383	0.0171
2	-+	17	0.5124	0.0474	0.0212	0.2966	0.0353	0.0158	5.3385	0.1724	0.0771	0.3768	0.0473	0.0212	0.2164	0.0298	0.0133
2	-+	18	0.534	0.0545	0.0244	0.3182	0.0451	0.0202	5.3535	0.1528	0.0683	0.3984	0.0599	0.0268	0.2381	0.0335	0.015
2	-+	19	0.5249	0.0494	0.0221	0.3091	0.0383	0.0171	5.3472	0.1763	0.0788	0.3893	0.0495	0.0221	0.229	0.0333	0.0149
2	-+	20	0.5362	0.0496	0.0222	0.3204	0.0409	0.0183	5.355	0.1597	0.0714	0.4005	0.0574	0.0257	0.2402	0.0263	0.0118
2	-+	21	0.5106	0.0425	0.019	0.2948	0.0329	0.0147	5.3373	0.1713	0.0766	0.375	0.0456	0.0204	0.2147	0.0266	0.0119
2	-+	22	0.5401	0.0477	0.0213	0.3243	0.0408	0.0182	5.3577	0.1549	0.0693	0.4044	0.0575	0.0257	0.2441	0.0255	0.0114
2	-+	23	0.52	0.0535	0.0239	0.3042	0.0431	0.0193	5.3438	0.1755	0.0785	0.3843	0.0554	0.0248	0.224	0.0358	0.016
2	-+	24	0.5358	0.0505	0.0226	0.32	0.0435	0.0195	5.3548	0.1569	0.0702	0.4002	0.0605	0.027	0.2399	0.0275	0.0123
2	-+	25	0.5243	0.0443	0.0198	0.3085	0.0351	0.0157	5.3468	0.1729	0.0773	0.3886	0.0478	0.0214	0.2283	0.0285	0.0127
2	-+	26	0.5244	0.0558	0.025	0.3086	0.0482	0.0216	5.3469	0.1526	0.0683	0.3888	0.065	0.0291	0.2285	0.0325	0.0145
2	-+	27	0.5201	0.0456	0.0204	0.3043	0.0353	0.0158	5.3439	0.1738	0.0777	0.3845	0.0479	0.0214	0.2242	0.0288	0.0129
2	-+	28	0.5242	0.0516	0.0231	0.3084	0.042	0.0188	5.3467	0.1603	0.0717	0.3886	0.0581	0.026	0.2283	0.0279	0.0125
2	-+	29	0.5138	0.0396	0.0177	0.298	0.0307	0.0137	5.3395	0.1756	0.0785	0.3782	0.0412	0.0184	0.2179	0.0287	0.0128
2	-+	30	0.5149	0.0472	0.0211	0.2991	0.0405	0.0181	5.3402	0.1598	0.0714	0.3792	0.0575	0.0257	0.2189	0.0245	0.0109
2	-+	31	0.5076	0.0362	0.0162	0.2918	0.0279	0.0125	5.3352	0.1705	0.0763	0.372	0.0412	0.0184	0.2117	0.0223	0.01
2	-+	32	0.5398	0.0562	0.0251	0.324	0.0474	0.0212	5.3575	0.1591	0.0711	0.4042	0.0638	0.0285	0.2439	0.0324	0.0145
2	-+	33	0.5316	0.043	0.0192	0.3158	0.0334	0.0149	5.3518	0.1736	0.0776	0.3959	0.0461	0.0206	0.2356	0.0272	0.0122
2	-+	34	0.5162	0.0552	0.0247	0.3004	0.0464	0.0207	5.3412	0.1623	0.0726	0.3806	0.0626	0.028	0.2203	0.0318	0.0142
2	-+	35	0.5188	0.0486	0.0217	0.303	0.0376	0.0168	5.343	0.1763	0.0789	0.3832	0.0488	0.0218	0.2229	0.0329	0.0147
2	-+	36	0.5297	0.0542	0.0242	0.3139	0.0453	0.0202	5.3505	0.1606	0.0718	0.3941	0.0617	0.0276	0.2338	0.0303	0.0136
2	-+	37	0.5277	0.0453	0.0203	0.3119	0.035	0.0156	5.3491	0.175	0.0783	0.392	0.0466	0.0208	0.2317	0.0301	0.0135
2	-+	38	0.5274	0.0502	0.0224	0.3117	0.0421	0.0188	5.349	0.1596	0.0714	0.3918	0.059	0.0264	0.2315	0.0265	0.0118
2	-+	39	0.5145	0.0426	0.0191	0.2987	0.0329	0.0147	5.34	0.1708	0.0764	0.3789	0.0466	0.0209	0.2185	0.025	0.0112
2	-+	40	0.5318	0.0508	0.0227	0.316	0.0415	0.0186	5.352	0.1594	0.0713	0.3962	0.0577	0.0258	0.2359	0.0275	0.0123
2	-+	41	0.5179	0.0421	0.0188	0.3021	0.0314	0.014	5.3424	0.1703	0.0762	0.3823	0.044	0.0197	0.222	0.0257	0.0115
2	-+	42	0.5194	0.0425	0.019	0.3036	0.0336	0.015	5.3433	0.1602	0.0716	0.3837	0.0499	0.0223	0.2234	0.02	0.0089
2	-+	43	0.4917	0.0387	0.0173	0.2759	0.0278	0.0124	5.3242	0.1683	0.0753	0.3561	0.0417	0.0187	0.1958	0.021	0.0094
2	-+	44	0.4986	0.0478	0.0214	0.2828	0.0388	0.0174	5.329	0.1534	0.0686	0.363	0.0547	0.0245	0.2027	0.0256	0.0115
2	-+	45	0.509	0.0408	0.0182	0.2932	0.0312	0.0139	5.3362	0.1664	0.0744	0.3734	0.0458	0.0205	0.2131	0.0218	0.0097
2	-+	46	0.5011	0.0472	0.0211	0.2853	0.0396	0.0177	5.3307	0.1559	0.0697	0.3655	0.0567	0.0253	0.2051	0.0235	0.0105
2	-+	47	0.5041	0.033	0.0148	0.2883	0.0242	0.0108	5.3328	0.1652	0.0739	0.3684	0.0397	0.0178	0.2081	0.015	0.0067
2	-+	48	0.5207	0.0448	0.02	0.3049	0.0378	0.0169	5.3443	0.1518	0.0679	0.3851	0.0548	0.0245	0.2247	0.022	0.0099
2	-+	49	0.5003	0.0345	0.0154	0.2845	0.0269	0.012	5.3301	0.1633	0.073	0.3647	0.043	0.0192	0.2043	0.0149	0.0067
2	-+	50	0.5144	0.0452	0.0202	0.2986	0.0379	0.0169	5.3399	0.1535	0.0687	0.3787	0.055	0.0246	0.2184	0.0219	0.0098
2	--	0	0.348	0.034	0.0152	0.1322	0.029	0.013	5.2246	0.1692	0.0757	0.2124	0.0384	0.0172	0.052	0.029	0.013
