motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	+-+-	9	0.6463	0.0665	0.0297	0.4814	0.0652	0.0292	2.0278	0.1229	0.055
4	+-+-	10	0.6643	0.0507	0.0227	0.4993	0.0536	0.024	2.0402	0.0846	0.0378
4	+-+-	11	0.7279	0.0819	0.0366	0.5629	0.0836	0.0374	2.0843	0.1103	0.0493
4	+-+-	12	0.735	0.0542	0.0242	0.57	0.0513	0.0229	2.0892	0.1173	0.0524
4	+-+-	13	0.7649	0.0308	0.0138	0.5999	0.0324	0.0145	2.11	0.1216	0.0544
4	+-+-	14	0.7051	0.0603	0.027	0.5401	0.0596	0.0267	2.0685	0.1281	0.0573
4	+-+-	15	0.7986	0.0592	0.0265	0.6336	0.0596	0.0266	2.1333	0.1305	0.0584
4	+-+-	16	0.7612	0.0546	0.0244	0.5963	0.0536	0.024	2.1074	0.1402	0.0627
4	+-+-	17	0.8386	0.0192	0.0086	0.6736	0.019	0.0085	2.161	0.1099	0.0491
4	+-+-	18	0.8391	0.0528	0.0236	0.6741	0.0544	0.0243	2.1614	0.1076	0.0481
4	+-+-	19	0.8666	0.0308	0.0138	0.7017	0.0276	0.0123	2.1805	0.1243	0.0556
4	+-+-	20	0.8295	0.0301	0.0135	0.6645	0.0284	0.0127	2.1547	0.1116	0.0499
4	+-+-	21	0.8602	0.0409	0.0183	0.6952	0.0378	0.0169	2.176	0.1295	0.0579
4	+-+-	22	0.8847	0.0252	0.0112	0.7197	0.0248	0.0111	2.193	0.1095	0.049
4	+-+-	23	0.8321	0.0439	0.0196	0.6671	0.0403	0.018	2.1565	0.1326	0.0593
4	+-+-	24	0.8388	0.0345	0.0154	0.6739	0.0336	0.015	2.1612	0.1278	0.0571
4	+-+-	25	0.843	0.0436	0.0195	0.678	0.0408	0.0183	2.1641	0.133	0.0595
4	+-+-	26	0.9213	0.0737	0.033	0.7563	0.0746	0.0334	2.2184	0.1317	0.0589
4	+-+-	27	0.876	0.0537	0.024	0.711	0.0502	0.0224	2.187	0.1394	0.0624
4	+-+-	28	0.9568	0.0575	0.0257	0.7918	0.0568	0.0254	2.243	0.1311	0.0586
4	+-+-	29	0.8352	0.0367	0.0164	0.6702	0.0331	0.0148	2.1587	0.1262	0.0564
4	+-+-	30	0.8781	0.0332	0.0149	0.7131	0.03	0.0134	2.1885	0.115	0.0514
4	+-+-	31	0.8358	0.0481	0.0215	0.6708	0.0449	0.0201	2.1591	0.1356	0.0606
4	+-+-	32	0.8886	0.0429	0.0192	0.7237	0.0435	0.0195	2.1957	0.1171	0.0524
4	+-+-	33	0.7961	0.0445	0.0199	0.6311	0.0415	0.0185	2.1316	0.1325	0.0593
4	+-+-	34	0.8648	0.0292	0.0131	0.6998	0.0302	0.0135	2.1792	0.1107	0.0495
4	+-+-	35	0.8204	0.0459	0.0205	0.6554	0.0424	0.019	2.1485	0.1337	0.0598
4	+-+-	36	0.8843	0.0467	0.0209	0.7193	0.0473	0.0212	2.1927	0.1219	0.0545
4	+-+-	37	0.7999	0.0418	0.0187	0.6349	0.0387	0.0173	2.1342	0.1292	0.0578
4	+-+-	38	0.8364	0.0345	0.0154	0.6714	0.034	0.0152	2.1595	0.1179	0.0527
4	+-+-	39	0.7778	0.0392	0.0175	0.6128	0.0356	0.0159	2.1189	0.1281	0.0573
4	+-+-	40	0.8675	0.0491	0.022	0.7025	0.0496	0.0222	2.1811	0.1105	0.0494
4	+-+-	41	0.7577	0.0398	0.0178	0.5927	0.0365	0.0163	2.105	0.1292	0.0578
4	+-+-	42	0.8402	0.0331	0.0148	0.6752	0.0345	0.0154	2.1622	0.115	0.0514
4	+-+-	43	0.7913	0.0355	0.0159	0.6263	0.0327	0.0146	2.1283	0.1282	0.0573
4	+-+-	44	0.8385	0.042	0.0188	0.6735	0.0423	0.0189	2.161	0.1228	0.0549
4	+-+-	45	0.7473	0.0372	0.0166	0.5823	0.0344	0.0154	2.0977	0.1257	0.0562
4	+-+-	46	0.7961	0.0242	0.0108	0.6311	0.0231	0.0103	2.1316	0.1146	0.0512
