motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	29	0.6106	0.1704	0.0762	0.3355	0.12	0.0537	2.0	0.189	0.0845
2	+-	30	0.5561	0.1229	0.055	0.2811	0.0722	0.0323	1.9623	0.164	0.0733
2	+-	31	0.6365	0.1068	0.0478	0.3614	0.061	0.0273	2.018	0.1483	0.0663
2	+-	32	0.6063	0.0896	0.0401	0.3313	0.0442	0.0198	1.9971	0.1432	0.064
2	+-	33	0.6194	0.1431	0.064	0.3444	0.0929	0.0415	2.0062	0.171	0.0765
2	+-	34	0.589	0.1188	0.0531	0.314	0.0681	0.0304	1.9851	0.1635	0.0731
2	+-	35	0.6441	0.1171	0.0524	0.3691	0.0694	0.031	2.0232	0.1571	0.0703
2	+-	36	0.6089	0.1108	0.0496	0.3338	0.0618	0.0276	1.9988	0.1604	0.0717
2	+-	37	0.6367	0.1308	0.0585	0.3617	0.0807	0.0361	2.0181	0.164	0.0733
2	+-	38	0.5828	0.1159	0.0518	0.3077	0.0652	0.0292	1.9807	0.1601	0.0716
2	+-	39	0.6456	0.1042	0.0466	0.3705	0.0565	0.0253	2.0243	0.1513	0.0677
2	+-	40	0.6019	0.0915	0.0409	0.3269	0.0436	0.0195	1.994	0.1456	0.0651
2	+-	41	0.6226	0.141	0.0631	0.3475	0.0907	0.0406	2.0083	0.1729	0.0773
2	+-	42	0.5981	0.122	0.0546	0.3231	0.0716	0.032	1.9914	0.1665	0.0745
2	+-	43	0.654	0.1087	0.0486	0.379	0.0638	0.0285	2.0301	0.155	0.0693
2	+-	44	0.5913	0.0959	0.0429	0.3162	0.0472	0.0211	1.9866	0.1512	0.0676
2	+-	45	0.5906	0.1379	0.0617	0.3155	0.0874	0.0391	1.9862	0.1698	0.0759
2	+-	46	0.5785	0.1156	0.0517	0.3035	0.065	0.0291	1.9778	0.1587	0.071
2	+-	47	0.659	0.106	0.0474	0.384	0.058	0.0259	2.0336	0.1506	0.0673
2	+-	48	0.6168	0.1025	0.0458	0.3417	0.0531	0.0237	2.0043	0.1524	0.0682
2	+-	49	0.6145	0.1401	0.0626	0.3394	0.0897	0.0401	2.0027	0.1726	0.0772
2	+-	50	0.5933	0.1208	0.054	0.3183	0.0704	0.0315	1.988	0.165	0.0738
2	-+	0	0.682	0.1994	0.0892	0.407	0.1525	0.0682	2.0495	0.188	0.0841
2	-+	1	0.3796	0.1062	0.0475	0.1046	0.0966	0.0432	1.8399	0.0953	0.0426
2	-+	2	0.5782	0.1298	0.0581	0.3032	0.0897	0.0401	1.9776	0.1651	0.0739
2	-+	3	0.6392	0.1798	0.0804	0.3642	0.1298	0.0581	2.0199	0.1984	0.0887
2	-+	4	0.5526	0.0952	0.0426	0.2776	0.0489	0.0219	1.9599	0.1554	0.0695
2	-+	5	0.612	0.0997	0.0446	0.337	0.061	0.0273	2.001	0.1319	0.059
2	-+	6	0.5772	0.1131	0.0506	0.3022	0.0652	0.0291	1.9769	0.1699	0.076
2	-+	7	0.6481	0.1534	0.0686	0.3731	0.106	0.0474	2.026	0.1956	0.0875
2	-+	8	0.6226	0.0968	0.0433	0.3476	0.0525	0.0235	2.0084	0.1506	0.0673
2	-+	9	0.6302	0.1086	0.0486	0.3551	0.0681	0.0304	2.0136	0.1481	0.0662
2	-+	10	0.6035	0.1283	0.0574	0.3285	0.0779	0.0349	1.9951	0.1645	0.0736
2	-+	11	0.6285	0.1469	0.0657	0.3534	0.0977	0.0437	2.0124	0.1674	0.0749
2	-+	12	0.5993	0.0983	0.0439	0.3242	0.055	0.0246	1.9922	0.149	0.0666
2	-+	13	0.6288	0.1151	0.0515	0.3538	0.069	0.0308	2.0126	0.1436	0.0642
2	-+	14	0.5824	0.1196	0.0535	0.3073	0.0689	0.0308	1.9805	0.1637	0.0732
2	-+	15	0.631	0.1482	0.0663	0.3559	0.0979	0.0438	2.0141	0.1752	0.0784
2	-+	16	0.5851	0.0892	0.0399	0.3101	0.0448	0.02	1.9824	0.1459	0.0653
2	-+	17	0.6528	0.102	0.0456	0.3778	0.0554	0.0248	2.0293	0.1418	0.0634
2	-+	18	0.5725	0.1325	0.0593	0.2975	0.0822	0.0367	1.9736	0.1668	0.0746
2	-+	19	0.6078	0.162	0.0724	0.3327	0.1118	0.05	1.9981	0.1807	0.0808
2	-+	20	0.6047	0.0989	0.0442	0.3297	0.0552	0.0247	1.9959	0.1509	0.0675
2	-+	21	0.6721	0.1193	0.0533	0.397	0.0743	0.0332	2.0427	0.1507	0.0674
2	-+	22	0.602	0.122	0.0546	0.3269	0.0716	0.032	1.994	0.1625	0.0727
2	-+	23	0.6143	0.1391	0.0622	0.3393	0.0888	0.0397	2.0026	0.1682	0.0752
2	-+	24	0.603	0.089	0.0398	0.328	0.0447	0.02	1.9948	0.1449	0.0648
2	-+	25	0.6513	0.1224	0.0547	0.3762	0.0754	0.0337	2.0282	0.1538	0.0688
2	-+	26	0.5835	0.1266	0.0566	0.3084	0.076	0.034	1.9812	0.1643	0.0735
2	-+	27	0.6357	0.1348	0.0603	0.3606	0.085	0.038	2.0174	0.1648	0.0737
2	-+	28	0.5993	0.0966	0.0432	0.3243	0.0486	0.0218	1.9922	0.1502	0.0672
2	-+	29	0.6111	0.1143	0.0511	0.3361	0.0687	0.0307	2.0004	0.1464	0.0655
2	-+	30	0.5573	0.1137	0.0508	0.2823	0.0629	0.0281	1.9631	0.1602	0.0717
2	-+	31	0.6179	0.1341	0.06	0.3429	0.0837	0.0374	2.0051	0.1684	0.0753
2	-+	32	0.6083	0.0912	0.0408	0.3332	0.0421	0.0188	1.9984	0.1472	0.0658
2	-+	33	0.6402	0.1112	0.0497	0.3652	0.0622	0.0278	2.0206	0.155	0.0693
2	-+	34	0.5721	0.1311	0.0586	0.2971	0.0803	0.0359	1.9734	0.1703	0.0761
2	-+	35	0.6062	0.1408	0.063	0.3312	0.0905	0.0405	1.997	0.1698	0.076
2	-+	36	0.6171	0.0968	0.0433	0.3421	0.0476	0.0213	2.0046	0.1506	0.0674
2	-+	37	0.6538	0.1104	0.0494	0.3788	0.0638	0.0285	2.03	0.1467	0.0656
2	-+	38	0.5935	0.1169	0.0523	0.3184	0.0663	0.0297	1.9882	0.1606	0.0718
2	-+	39	0.6217	0.1334	0.0597	0.3467	0.0827	0.037	2.0078	0.1699	0.076
2	-+	40	0.6066	0.0996	0.0445	0.3315	0.0508	0.0227	1.9972	0.1514	0.0677
2	-+	41	0.6649	0.1116	0.0499	0.3899	0.0627	0.028	2.0377	0.153	0.0684
2	-+	42	0.5921	0.1188	0.0531	0.317	0.0681	0.0304	1.9872	0.1621	0.0725
2	-+	43	0.5888	0.1236	0.0553	0.3137	0.0733	0.0328	1.9849	0.1604	0.0717
2	-+	44	0.5747	0.1014	0.0454	0.2997	0.0533	0.0238	1.9752	0.1517	0.0678
2	-+	45	0.6063	0.1125	0.0503	0.3312	0.0631	0.0282	1.997	0.1531	0.0685
2	-+	46	0.5838	0.1186	0.053	0.3088	0.0679	0.0304	1.9815	0.1631	0.073
2	-+	47	0.6146	0.1213	0.0542	0.3396	0.0709	0.0317	2.0028	0.1616	0.0723
