motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	+-	34	0.2805	0.0148	0.0066	0.136	0.0084	0.0037	1.7874	0.106	0.0474	0.2711	0.014	0.0063	0.0008	0.0091	0.0041
2	+-	35	0.2769	0.0215	0.0096	0.1323	0.0134	0.006	1.7849	0.1115	0.0499	0.2675	0.0203	0.0091	-0.0028	0.0092	0.0041
2	+-	36	0.2907	0.0229	0.0102	0.1461	0.016	0.0071	1.7944	0.1049	0.0469	0.2813	0.0225	0.0101	0.011	0.012	0.0054
2	+-	37	0.3004	0.0184	0.0082	0.1559	0.011	0.0049	1.8012	0.1138	0.0509	0.291	0.0175	0.0078	0.0207	0.0086	0.0039
2	+-	38	0.294	0.012	0.0054	0.1494	0.0056	0.0025	1.7967	0.1078	0.0482	0.2845	0.0124	0.0055	0.0143	0.007	0.0031
2	+-	39	0.299	0.015	0.0067	0.1545	0.0064	0.0028	1.8002	0.1091	0.0488	0.2896	0.0145	0.0065	0.0193	0.0032	0.0014
2	+-	40	0.2842	0.0189	0.0084	0.1397	0.0112	0.005	1.79	0.1083	0.0484	0.2748	0.018	0.0081	0.0045	0.0081	0.0036
2	+-	41	0.2876	0.0167	0.0075	0.143	0.0109	0.0049	1.7923	0.1146	0.0512	0.2782	0.0152	0.0068	0.0079	0.012	0.0054
2	+-	42	0.2769	0.0137	0.0061	0.1323	0.0072	0.0032	1.7848	0.1073	0.048	0.2674	0.0128	0.0057	-0.0028	0.0089	0.004
2	+-	43	0.2758	0.0173	0.0077	0.1313	0.0098	0.0044	1.7841	0.1109	0.0496	0.2664	0.0159	0.0071	-0.0039	0.0089	0.004
2	+-	44	0.2864	0.0173	0.0077	0.1418	0.0113	0.0051	1.7914	0.1042	0.0466	0.2769	0.0171	0.0077	0.0067	0.0102	0.0045
2	+-	45	0.2909	0.0161	0.0072	0.1463	0.0088	0.0039	1.7945	0.1111	0.0497	0.2815	0.0155	0.0069	0.0112	0.0075	0.0034
2	+-	46	0.2905	0.0145	0.0065	0.146	0.0061	0.0027	1.7943	0.1079	0.0483	0.2811	0.0141	0.0063	0.0108	0.004	0.0018
2	+-	47	0.2894	0.0201	0.009	0.1449	0.0116	0.0052	1.7935	0.1131	0.0506	0.28	0.0191	0.0086	0.0097	0.0066	0.003
2	+-	48	0.284	0.0201	0.009	0.1394	0.0124	0.0055	1.7898	0.1066	0.0477	0.2746	0.0197	0.0088	0.0043	0.0075	0.0033
2	+-	49	0.287	0.0183	0.0082	0.1424	0.0102	0.0046	1.7918	0.113	0.0505	0.2775	0.0175	0.0078	0.0073	0.0064	0.0029
2	+-	50	0.2993	0.0172	0.0077	0.1547	0.0085	0.0038	1.8004	0.111	0.0497	0.2898	0.0164	0.0073	0.0196	0.0039	0.0018
2	-+	0	0.5185	0.0955	0.0427	0.3739	0.0927	0.0415	1.9523	0.1652	0.0739	0.509	0.0935	0.0418	0.2388	0.0927	0.0414
2	-+	1	0.2129	0.0412	0.0184	0.0683	0.033	0.0147	1.7405	0.118	0.0528	0.2034	0.0403	0.018	-0.0668	0.0263	0.0118
2	-+	2	0.2436	0.0247	0.0111	0.099	0.02	0.0089	1.7618	0.1101	0.0493	0.2342	0.0251	0.0112	-0.0361	0.0175	0.0078
2	-+	3	0.3129	0.0268	0.012	0.1684	0.0247	0.011	1.8098	0.1181	0.0528	0.3035	0.0252	0.0113	0.0332	0.0269	0.012
2	-+	4	0.344	0.0284	0.0127	0.1994	0.029	0.013	1.8314	0.1202	0.0538	0.3346	0.0291	0.013	0.0643	0.0313	0.014
2	-+	5	0.3117	0.0318	0.0142	0.1671	0.0242	0.0108	1.809	0.108	0.0483	0.3022	0.031	0.0138	0.032	0.0187	0.0084
2	-+	6	0.3162	0.031	0.0139	0.1716	0.024	0.0107	1.8121	0.1119	0.05	0.3068	0.0299	0.0134	0.0365	0.0199	0.0089
2	-+	7	0.2983	0.0065	0.0029	0.1537	0.0089	0.004	1.7997	0.1096	0.049	0.2888	0.0047	0.0021	0.0186	0.0166	0.0074
2	-+	8	0.308	0.0185	0.0083	0.1635	0.0149	0.0067	1.8064	0.1182	0.0529	0.2986	0.0171	0.0077	0.0283	0.017	0.0076
2	-+	9	0.3027	0.0336	0.015	0.1581	0.0279	0.0125	1.8027	0.0994	0.0445	0.2932	0.0336	0.015	0.023	0.0236	0.0106
2	-+	10	0.3198	0.03	0.0134	0.1752	0.0218	0.0098	1.8146	0.1177	0.0526	0.3104	0.0287	0.0128	0.0401	0.0164	0.0073
2	-+	11	0.3192	0.0179	0.008	0.1747	0.0156	0.007	1.8142	0.1021	0.0456	0.3098	0.0186	0.0083	0.0395	0.0168	0.0075
