config	mode	half_window	fold	stratum	n	pearson	spearman
K562multimodal_on_GM12878	multimodal	500	2	quintile5	2098	0.5213	0.5374
K562multimodal_on_GM12878	multimodal	500	2	top_quintile	2098	0.5213	0.5374
K562multimodal_on_GM12878	multimodal	500	2	top_two_quintiles	4196	0.6679	0.6701
K562multimodal_on_GM12878	multimodal	500	3	all	11028	0.7042	0.7639
K562multimodal_on_GM12878	multimodal	500	3	quintile1	2206	0.2107	0.214
K562multimodal_on_GM12878	multimodal	500	3	quintile2	2205	0.129	0.1213
K562multimodal_on_GM12878	multimodal	500	3	quintile3	2206	0.1823	0.1857
K562multimodal_on_GM12878	multimodal	500	3	quintile4	2205	0.3146	0.3223
K562multimodal_on_GM12878	multimodal	500	3	quintile5	2206	0.5117	0.5246
K562multimodal_on_GM12878	multimodal	500	3	top_quintile	2206	0.5117	0.5246
K562multimodal_on_GM12878	multimodal	500	3	top_two_quintiles	4411	0.6675	0.6799
K562multimodal_on_GM12878	multimodal	500	4	all	10463	0.6829	0.7331
K562multimodal_on_GM12878	multimodal	500	4	quintile1	2093	0.2579	0.2173
K562multimodal_on_GM12878	multimodal	500	4	quintile2	2092	0.1017	0.0989
K562multimodal_on_GM12878	multimodal	500	4	quintile3	2093	0.1638	0.1626
K562multimodal_on_GM12878	multimodal	500	4	quintile4	2092	0.2972	0.2974
K562multimodal_on_GM12878	multimodal	500	4	quintile5	2093	0.5332	0.5506
K562multimodal_on_GM12878	multimodal	500	4	top_quintile	2093	0.5332	0.5506
K562multimodal_on_GM12878	multimodal	500	4	top_two_quintiles	4185	0.6748	0.6811
