config	mode	half_window	fold	stratum	n	pearson	spearman
atac_OLD	atac	500	3	top_quintile	2206	0.5069	0.5154
atac_OLD	atac	500	3	top_two_quintiles	4411	0.6897	0.6926
atac_OLD	atac	500	4	all	10463	0.7596	0.725
atac_OLD	atac	500	4	quintile1	2093	0.1278	0.1389
atac_OLD	atac	500	4	quintile2	2092	0.123	0.1343
atac_OLD	atac	500	4	quintile3	2093	0.1726	0.1783
atac_OLD	atac	500	4	quintile4	2092	0.3225	0.319
atac_OLD	atac	500	4	quintile5	2093	0.5173	0.5248
atac_OLD	atac	500	4	top_quintile	2093	0.5173	0.5248
atac_OLD	atac	500	4	top_two_quintiles	4185	0.6755	0.6718
atac_5PRIME	atac	500	0	all	10800	0.7984	0.7686
atac_5PRIME	atac	500	0	quintile1	2160	0.1559	0.1633
atac_5PRIME	atac	500	0	quintile2	2160	0.1462	0.1607
atac_5PRIME	atac	500	0	quintile3	2160	0.1906	0.1919
atac_5PRIME	atac	500	0	quintile4	2160	0.3234	0.3275
atac_5PRIME	atac	500	0	quintile5	2160	0.4789	0.4901
atac_5PRIME	atac	500	0	top_quintile	2160	0.4789	0.4901
atac_5PRIME	atac	500	0	top_two_quintiles	4320	0.6755	0.6802
atac_5PRIME	atac	500	1	all	14362	0.7984	0.7747
atac_5PRIME	atac	500	1	quintile1	2873	0.1267	0.1279
atac_5PRIME	atac	500	1	quintile2	2872	0.1589	0.1819
atac_5PRIME	atac	500	1	quintile3	2872	0.1639	0.178
atac_5PRIME	atac	500	1	quintile4	2872	0.3329	0.3346
atac_5PRIME	atac	500	1	quintile5	2873	0.5138	0.5273
atac_5PRIME	atac	500	1	top_quintile	2873	0.5138	0.5273
atac_5PRIME	atac	500	1	top_two_quintiles	5745	0.679	0.6844
atac_5PRIME	atac	500	2	all	10491	0.7819	0.7534
atac_5PRIME	atac	500	2	quintile1	2099	0.1327	0.1487
atac_5PRIME	atac	500	2	quintile2	2098	0.135	0.1552
atac_5PRIME	atac	500	2	quintile3	2098	0.1707	0.1794
atac_5PRIME	atac	500	2	quintile4	2098	0.2869	0.2847
atac_5PRIME	atac	500	2	quintile5	2098	0.51	0.5219
atac_5PRIME	atac	500	2	top_quintile	2098	0.51	0.5219
atac_5PRIME	atac	500	2	top_two_quintiles	4196	0.6742	0.6705
atac_5PRIME	atac	500	3	all	11028	0.8014	0.7746
atac_5PRIME	atac	500	3	quintile1	2206	0.1402	0.1609
atac_5PRIME	atac	500	3	quintile2	2205	0.1469	0.1438
atac_5PRIME	atac	500	3	quintile3	2206	0.1874	0.1918
atac_5PRIME	atac	500	3	quintile4	2205	0.3514	0.3558
atac_5PRIME	atac	500	3	quintile5	2206	0.5228	0.5331
atac_5PRIME	atac	500	3	top_quintile	2206	0.5228	0.5331
atac_5PRIME	atac	500	3	top_two_quintiles	4411	0.6972	0.7011
atac_5PRIME	atac	500	4	all	10463	0.7738	0.741
atac_5PRIME	atac	500	4	quintile1	2093	0.1465	0.1547
atac_5PRIME	atac	500	4	quintile2	2092	0.1434	0.1492
atac_5PRIME	atac	500	4	quintile3	2093	0.1792	0.1859
atac_5PRIME	atac	500	4	quintile4	2092	0.3283	0.3218
atac_5PRIME	atac	500	4	quintile5	2093	0.5535	0.5639
atac_5PRIME	atac	500	4	top_quintile	2093	0.5535	0.5639
atac_5PRIME	atac	500	4	top_two_quintiles	4185	0.6881	0.6818
multimodal_OLD	multimodal	500	0	all	10800	0.8325	0.8068
multimodal_OLD	multimodal	500	0	quintile1	2160	0.2271	0.2331
multimodal_OLD	multimodal	500	0	quintile2	2160	0.1901	0.2033
multimodal_OLD	multimodal	500	0	quintile3	2160	0.2157	0.2216
multimodal_OLD	multimodal	500	0	quintile4	2160	0.3599	0.3649
multimodal_OLD	multimodal	500	0	quintile5	2160	0.5672	0.5805
multimodal_OLD	multimodal	500	0	top_quintile	2160	0.5672	0.5805
multimodal_OLD	multimodal	500	0	top_two_quintiles	4320	0.7223	0.7255
multimodal_OLD	multimodal	500	1	all	14362	0.8374	0.8179
multimodal_OLD	multimodal	500	1	quintile1	2873	0.1906	0.213
multimodal_OLD	multimodal	500	1	quintile2	2872	0.1887	0.1992
multimodal_OLD	multimodal	500	1	quintile3	2872	0.2018	0.2167
multimodal_OLD	multimodal	500	1	quintile4	2872	0.3661	0.3694
multimodal_OLD	multimodal	500	1	quintile5	2873	0.5743	0.5842
multimodal_OLD	multimodal	500	1	top_quintile	2873	0.5743	0.5842
multimodal_OLD	multimodal	500	1	top_two_quintiles	5745	0.73	0.7359
multimodal_OLD	multimodal	500	2	all	10491	0.8158	0.7901
multimodal_OLD	multimodal	500	2	quintile1	2099	0.1767	0.2068
multimodal_OLD	multimodal	500	2	quintile2	2098	0.1458	0.1665
multimodal_OLD	multimodal	500	2	quintile3	2098	0.196	0.2003
multimodal_OLD	multimodal	500	2	quintile4	2098	0.3124	0.3066
multimodal_OLD	multimodal	500	2	quintile5	2098	0.5907	0.6066
multimodal_OLD	multimodal	500	2	top_quintile	2098	0.5907	0.6066
multimodal_OLD	multimodal	500	2	top_two_quintiles	4196	0.7123	0.7125
multimodal_OLD	multimodal	500	3	all	11028	0.8269	0.804
multimodal_OLD	multimodal	500	3	quintile1	2206	0.1816	0.2002
multimodal_OLD	multimodal	500	3	quintile2	2205	0.1835	0.1902
multimodal_OLD	multimodal	500	3	quintile3	2206	0.2312	0.2389
multimodal_OLD	multimodal	500	3	quintile4	2205	0.3488	0.349
multimodal_OLD	multimodal	500	3	quintile5	2206	0.5701	0.5832
multimodal_OLD	multimodal	500	3	top_quintile	2206	0.5701	0.5832
multimodal_OLD	multimodal	500	3	top_two_quintiles	4411	0.7275	0.73
multimodal_OLD	multimodal	500	4	all	10463	0.8127	0.786
multimodal_OLD	multimodal	500	4	quintile1	2093	0.2254	0.229
multimodal_OLD	multimodal	500	4	quintile2	2092	0.1959	0.1982
multimodal_OLD	multimodal	500	4	quintile3	2093	0.2018	0.2107
multimodal_OLD	multimodal	500	4	quintile4	2092	0.3491	0.3479
multimodal_OLD	multimodal	500	4	quintile5	2093	0.5946	0.5985
multimodal_OLD	multimodal	500	4	top_quintile	2093	0.5946	0.5985
multimodal_OLD	multimodal	500	4	top_two_quintiles	4185	0.7262	0.7202
multimodal_5PRIME	multimodal	500	0	all	10800	0.8341	0.8101
multimodal_5PRIME	multimodal	500	0	quintile1	2160	0.2102	0.226
multimodal_5PRIME	multimodal	500	0	quintile2	2160	0.1868	0.2039
multimodal_5PRIME	multimodal	500	0	quintile3	2160	0.208	0.2104
multimodal_5PRIME	multimodal	500	0	quintile4	2160	0.3609	0.3669
multimodal_5PRIME	multimodal	500	0	quintile5	2160	0.5675	0.572
multimodal_5PRIME	multimodal	500	0	top_quintile	2160	0.5675	0.572
multimodal_5PRIME	multimodal	500	0	top_two_quintiles	4320	0.7287	0.7257
multimodal_5PRIME	multimodal	500	1	all	14362	0.8366	0.8185
multimodal_5PRIME	multimodal	500	1	quintile1	2873	0.1897	0.2078
multimodal_5PRIME	multimodal	500	1	quintile2	2872	0.2005	0.2132
multimodal_5PRIME	multimodal	500	1	quintile3	2872	0.2015	0.2164
