distance	K562	GM12878	TeloHAEC_ctrl	TeloHAEC_TNFa
112.5	0.014286064393609861	0.015410006057215054	0.01890906511928279	0.01960785226191831
137.5	0.013171877269296601	0.014083828264195944	0.017710649348017693	0.018367937760980883
162.5	0.012300296872068297	0.012945236872122257	0.016671461157543945	0.017066143245592632
187.5	0.011612123110219306	0.012021011714768881	0.015453767154980683	0.01599170747435614
212.5	0.01087940557907122	0.011218330191277888	0.014293546415909556	0.014950073141674009
237.5	0.01012366430768236	0.010442804064188212	0.013276189787640693	0.01369711604419476
262.5	0.009346355521619025	0.00966311148969159	0.012159229935918467	0.012383561810613281
287.5	0.008634067659330452	0.008972375756445222	0.010998694402625903	0.011152489108488607
312.5	0.008102908027327176	0.008351718900026388	0.010033739353171233	0.01023630015469502
337.5	0.00769668214729264	0.007828043564773434	0.009362248301835284	0.009649924131580662
362.5	0.007377967283395373	0.0073911655856689655	0.00894274419519017	0.009029111628879708
387.5	0.007123761403104883	0.007013719203701238	0.008491241838894223	0.008393042935624104
412.5	0.0068879012514847255	0.0067176352162032285	0.007967412595475256	0.007734951497388184
437.5	0.006679965807950326	0.006501972339630344	0.007417362159320025	0.007178220025912118
462.5	0.006520879044014545	0.006374059987643765	0.00707484855789242	0.0067286969371958775
487.5	0.006418115647925238	0.006323658532390865	0.006910543462900708	0.00645920444336736
512.5	0.006379281458680019	0.006331081440545546	0.006871532297540256	0.006243240677486526
537.5	0.006407964127650552	0.006342930282942902	0.006797823813556762	0.0060464194689215725
562.5	0.006445460579248282	0.006351580108243094	0.006563587765238077	0.0058562138879178
587.5	0.006452459959089312	0.006343453614408581	0.006354937491690398	0.005645670911920733
612.5	0.0064110981783256265	0.006272936977346714	0.006091204058924035	0.005272126922248579
637.5	0.006318720564884692	0.0061808449012597695	0.00579959384899787	0.005032618565503546
662.5	0.006237738594865203	0.006043531598720203	0.0056004456973176705	0.004848965725867417
687.5	0.006141990407155697	0.005903812397625777	0.005384327805296148	0.0045538156650715535
712.5	0.006038432870664445	0.005816410100411393	0.005178848792052669	0.004456719382234202
737.5	0.005974394220780869	0.005695329185059236	0.00501980775598513	0.004376350826880496
762.5	0.0058796563460884015	0.005575785778729296	0.004932475677643087	0.004299176890158997
787.5	0.005782105061691782	0.0054538253812773975	0.004744444425595643	0.0041585633613867865
812.5	0.005673200192562403	0.005319230946148076	0.0045431801572050875	0.003997423779040653
837.5	0.0055635002785431684	0.005200621692426783	0.004360273055538977	0.003923243225132013
862.5	0.005461654485458142	0.005122939653230418	0.00421859233782821	0.003940398578731784
887.5	0.005365883685550373	0.005080593382452628	0.004138494697055228	0.003898227097338826
912.5	0.005294186736369275	0.00503356921769547	0.0040135621978263465	0.003807507474527188
