config	mode	half_window	fold	stratum	n	pearson	spearman
atac_5PRIME	atac	500	1	quintile4	2878	0.3826	0.3879
atac_5PRIME	atac	500	1	quintile5	2879	0.5269	0.5343
atac_5PRIME	atac	500	1	top_quintile	2879	0.5269	0.5343
atac_5PRIME	atac	500	1	top_two_quintiles	5757	0.7243	0.728
atac_5PRIME	atac	500	2	all	12801	0.8011	0.7603
atac_5PRIME	atac	500	2	quintile1	2561	0.1855	0.2186
atac_5PRIME	atac	500	2	quintile2	2560	0.1348	0.135
atac_5PRIME	atac	500	2	quintile3	2560	0.1715	0.1843
atac_5PRIME	atac	500	2	quintile4	2560	0.2905	0.2928
atac_5PRIME	atac	500	2	quintile5	2560	0.5978	0.6063
atac_5PRIME	atac	500	2	top_quintile	2560	0.5978	0.6063
atac_5PRIME	atac	500	2	top_two_quintiles	5120	0.7201	0.7001
atac_5PRIME	atac	500	3	all	12021	0.8489	0.8055
atac_5PRIME	atac	500	3	quintile1	2405	0.2064	0.2332
atac_5PRIME	atac	500	3	quintile2	2404	0.1196	0.1277
atac_5PRIME	atac	500	3	quintile3	2404	0.2096	0.2162
atac_5PRIME	atac	500	3	quintile4	2404	0.4071	0.4065
atac_5PRIME	atac	500	3	quintile5	2404	0.6085	0.6139
atac_5PRIME	atac	500	3	top_quintile	2404	0.6085	0.6139
atac_5PRIME	atac	500	3	top_two_quintiles	4808	0.7762	0.7752
atac_5PRIME	atac	500	4	all	9298	0.8331	0.7933
atac_5PRIME	atac	500	4	quintile1	1860	0.2405	0.2474
atac_5PRIME	atac	500	4	quintile2	1859	0.1676	0.1673
atac_5PRIME	atac	500	4	quintile3	1860	0.1936	0.2099
atac_5PRIME	atac	500	4	quintile4	1859	0.3929	0.3838
atac_5PRIME	atac	500	4	quintile5	1860	0.5968	0.6044
atac_5PRIME	atac	500	4	top_quintile	1860	0.5968	0.6044
atac_5PRIME	atac	500	4	top_two_quintiles	3719	0.756	0.748
multimodal_OLD	multimodal	500	0	all	10143	0.8812	0.8524
multimodal_OLD	multimodal	500	0	quintile1	2029	0.3193	0.2949
multimodal_OLD	multimodal	500	0	quintile2	2028	0.1866	0.1814
multimodal_OLD	multimodal	500	0	quintile3	2029	0.2493	0.2567
multimodal_OLD	multimodal	500	0	quintile4	2028	0.4439	0.4421
multimodal_OLD	multimodal	500	0	quintile5	2029	0.6814	0.6892
multimodal_OLD	multimodal	500	0	top_quintile	2029	0.6814	0.6892
multimodal_OLD	multimodal	500	0	top_two_quintiles	4057	0.8106	0.8018
multimodal_OLD	multimodal	500	1	all	14392	0.8797	0.8535
multimodal_OLD	multimodal	500	1	quintile1	2879	0.3261	0.3185
multimodal_OLD	multimodal	500	1	quintile2	2878	0.2283	0.2338
multimodal_OLD	multimodal	500	1	quintile3	2878	0.2611	0.2793
multimodal_OLD	multimodal	500	1	quintile4	2878	0.436	0.4414
multimodal_OLD	multimodal	500	1	quintile5	2879	0.6654	0.667
multimodal_OLD	multimodal	500	1	top_quintile	2879	0.6654	0.667
multimodal_OLD	multimodal	500	1	top_two_quintiles	5757	0.8054	0.7958
multimodal_OLD	multimodal	500	2	all	12801	0.8472	0.8126
multimodal_OLD	multimodal	500	2	quintile1	2561	0.274	0.3111
multimodal_OLD	multimodal	500	2	quintile2	2560	0.1631	0.1743
multimodal_OLD	multimodal	500	2	quintile3	2560	0.2196	0.2382
multimodal_OLD	multimodal	500	2	quintile4	2560	0.3219	0.3213
multimodal_OLD	multimodal	500	2	quintile5	2560	0.6889	0.6882
multimodal_OLD	multimodal	500	2	top_quintile	2560	0.6889	0.6882
multimodal_OLD	multimodal	500	2	top_two_quintiles	5120	0.7802	0.7519
multimodal_OLD	multimodal	500	3	all	12021	0.8841	0.8466
multimodal_OLD	multimodal	500	3	quintile1	2405	0.3238	0.3291
multimodal_OLD	multimodal	500	3	quintile2	2404	0.1663	0.1738
multimodal_OLD	multimodal	500	3	quintile3	2404	0.2491	0.2583
multimodal_OLD	multimodal	500	3	quintile4	2404	0.4447	0.4431
multimodal_OLD	multimodal	500	3	quintile5	2404	0.7062	0.702
multimodal_OLD	multimodal	500	3	top_quintile	2404	0.7062	0.702
multimodal_OLD	multimodal	500	3	top_two_quintiles	4808	0.8269	0.8182
multimodal_OLD	multimodal	500	4	all	9298	0.8784	0.8465
multimodal_OLD	multimodal	500	4	quintile1	1860	0.3733	0.3579
multimodal_OLD	multimodal	500	4	quintile2	1859	0.1994	0.1975
multimodal_OLD	multimodal	500	4	quintile3	1860	0.2583	0.2602
multimodal_OLD	multimodal	500	4	quintile4	1859	0.4223	0.4126
multimodal_OLD	multimodal	500	4	quintile5	1860	0.6841	0.6911
multimodal_OLD	multimodal	500	4	top_quintile	1860	0.6841	0.6911
multimodal_OLD	multimodal	500	4	top_two_quintiles	3719	0.8123	0.8011
multimodal_5PRIME	multimodal	500	0	all	10143	0.8842	0.8567
multimodal_5PRIME	multimodal	500	0	quintile1	2029	0.326	0.3022
multimodal_5PRIME	multimodal	500	0	quintile2	2028	0.1847	0.1821
multimodal_5PRIME	multimodal	500	0	quintile3	2029	0.2446	0.2421
multimodal_5PRIME	multimodal	500	0	quintile4	2028	0.435	0.4358
multimodal_5PRIME	multimodal	500	0	quintile5	2029	0.6872	0.6922
multimodal_5PRIME	multimodal	500	0	top_quintile	2029	0.6872	0.6922
multimodal_5PRIME	multimodal	500	0	top_two_quintiles	4057	0.8114	0.8034
multimodal_5PRIME	multimodal	500	1	all	14392	0.8827	0.8571
multimodal_5PRIME	multimodal	500	1	quintile1	2879	0.3227	0.3113
multimodal_5PRIME	multimodal	500	1	quintile2	2878	0.246	0.2495
multimodal_5PRIME	multimodal	500	1	quintile3	2878	0.2675	0.284
multimodal_5PRIME	multimodal	500	1	quintile4	2878	0.4355	0.4382
multimodal_5PRIME	multimodal	500	1	quintile5	2879	0.683	0.6799
multimodal_5PRIME	multimodal	500	1	top_quintile	2879	0.683	0.6799
multimodal_5PRIME	multimodal	500	1	top_two_quintiles	5757	0.8123	0.801
multimodal_5PRIME	multimodal	500	2	all	12801	0.8474	0.8135
multimodal_5PRIME	multimodal	500	2	quintile1	2561	0.2808	0.3156
multimodal_5PRIME	multimodal	500	2	quintile2	2560	0.1685	0.1828
multimodal_5PRIME	multimodal	500	2	quintile3	2560	0.2195	0.237
multimodal_5PRIME	multimodal	500	2	quintile4	2560	0.3325	0.3349
multimodal_5PRIME	multimodal	500	2	quintile5	2560	0.6896	0.6866
multimodal_5PRIME	multimodal	500	2	top_quintile	2560	0.6896	0.6866
multimodal_5PRIME	multimodal	500	2	top_two_quintiles	5120	0.7798	0.7518
multimodal_5PRIME	multimodal	500	3	all	12021	0.8847	0.8506
multimodal_5PRIME	multimodal	500	3	quintile1	2405	0.312	0.3223
multimodal_5PRIME	multimodal	500	3	quintile2	2404	0.1737	0.1837
multimodal_5PRIME	multimodal	500	3	quintile3	2404	0.2518	0.2615
multimodal_5PRIME	multimodal	500	3	quintile4	2404	0.4491	0.4525
multimodal_5PRIME	multimodal	500	3	quintile5	2404	0.6972	0.6948
multimodal_5PRIME	multimodal	500	3	top_quintile	2404	0.6972	0.6948
multimodal_5PRIME	multimodal	500	3	top_two_quintiles	4808	0.8233	0.8183
multimodal_5PRIME	multimodal	500	4	all	9298	0.8787	0.8468
multimodal_5PRIME	multimodal	500	4	quintile1	1860	0.3672	0.3584
multimodal_5PRIME	multimodal	500	4	quintile2	1859	0.2058	0.2024
multimodal_5PRIME	multimodal	500	4	quintile3	1860	0.2583	0.2676
multimodal_5PRIME	multimodal	500	4	quintile4	1859	0.4213	0.4174
multimodal_5PRIME	multimodal	500	4	quintile5	1860	0.6847	0.6917
multimodal_5PRIME	multimodal	500	4	top_quintile	1860	0.6847	0.6917
multimodal_5PRIME	multimodal	500	4	top_two_quintiles	3719	0.8109	0.7994
