config	mode	half_window	fold	stratum	n	pearson	spearman
atac	atac	500	4	quintile2	2092	0.123	0.1344
atac	atac	500	4	quintile3	2093	0.1726	0.1783
atac	atac	500	4	quintile4	2092	0.3225	0.319
atac	atac	500	4	quintile5	2093	0.5173	0.5248
atac	atac	500	4	top_quintile	2093	0.5173	0.5248
atac	atac	500	4	top_two_quintiles	4185	0.6755	0.6718
multimodal	multimodal	500	0	all	10800	0.8325	0.8068
multimodal	multimodal	500	0	quintile1	2160	0.2271	0.2331
multimodal	multimodal	500	0	quintile2	2160	0.1901	0.2033
multimodal	multimodal	500	0	quintile3	2160	0.2157	0.2216
multimodal	multimodal	500	0	quintile4	2160	0.3599	0.3649
multimodal	multimodal	500	0	quintile5	2160	0.5672	0.5805
multimodal	multimodal	500	0	top_quintile	2160	0.5672	0.5805
multimodal	multimodal	500	0	top_two_quintiles	4320	0.7223	0.7255
multimodal	multimodal	500	1	all	14362	0.8374	0.8179
multimodal	multimodal	500	1	quintile1	2873	0.1906	0.213
multimodal	multimodal	500	1	quintile2	2872	0.1887	0.1992
multimodal	multimodal	500	1	quintile3	2872	0.2018	0.2167
multimodal	multimodal	500	1	quintile4	2872	0.3661	0.3694
multimodal	multimodal	500	1	quintile5	2873	0.5743	0.5842
multimodal	multimodal	500	1	top_quintile	2873	0.5743	0.5842
multimodal	multimodal	500	1	top_two_quintiles	5745	0.73	0.7359
multimodal	multimodal	500	2	all	10491	0.8158	0.7901
multimodal	multimodal	500	2	quintile1	2099	0.1767	0.2068
multimodal	multimodal	500	2	quintile2	2098	0.1458	0.1665
multimodal	multimodal	500	2	quintile3	2098	0.196	0.2003
multimodal	multimodal	500	2	quintile4	2098	0.3124	0.3066
multimodal	multimodal	500	2	quintile5	2098	0.5907	0.6066
multimodal	multimodal	500	2	top_quintile	2098	0.5907	0.6066
multimodal	multimodal	500	2	top_two_quintiles	4196	0.7123	0.7125
multimodal	multimodal	500	3	all	11028	0.8269	0.804
multimodal	multimodal	500	3	quintile1	2206	0.1816	0.2002
multimodal	multimodal	500	3	quintile2	2205	0.1835	0.1902
multimodal	multimodal	500	3	quintile3	2206	0.2312	0.2389
multimodal	multimodal	500	3	quintile4	2205	0.3488	0.349
multimodal	multimodal	500	3	quintile5	2206	0.5701	0.5832
multimodal	multimodal	500	3	top_quintile	2206	0.5701	0.5832
multimodal	multimodal	500	3	top_two_quintiles	4411	0.7275	0.73
multimodal	multimodal	500	4	all	10463	0.8127	0.786
multimodal	multimodal	500	4	quintile1	2093	0.2254	0.229
multimodal	multimodal	500	4	quintile2	2092	0.1959	0.1982
multimodal	multimodal	500	4	quintile3	2093	0.2018	0.2107
multimodal	multimodal	500	4	quintile4	2092	0.3491	0.3479
multimodal	multimodal	500	4	quintile5	2093	0.5946	0.5985
multimodal	multimodal	500	4	top_quintile	2093	0.5946	0.5985
multimodal	multimodal	500	4	top_two_quintiles	4185	0.7262	0.7202
