motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	28	0.2968	0.0262	0.0117	0.1596	0.0217	0.0097	5.2152	0.1782	0.0797
2	+-	29	0.3104	0.0232	0.0104	0.1732	0.0193	0.0086	5.2247	0.1697	0.0759
2	+-	30	0.3182	0.029	0.013	0.181	0.0156	0.007	5.2301	0.1793	0.0802
2	+-	31	0.3219	0.0184	0.0082	0.1847	0.0139	0.0062	5.2327	0.1672	0.0748
2	+-	32	0.3065	0.0183	0.0082	0.1693	0.0152	0.0068	5.222	0.173	0.0774
2	+-	33	0.3168	0.0194	0.0087	0.1796	0.0164	0.0073	5.2291	0.1685	0.0754
2	+-	34	0.3087	0.0208	0.0093	0.1715	0.0145	0.0065	5.2235	0.1756	0.0785
2	+-	35	0.3014	0.0175	0.0078	0.1642	0.0104	0.0046	5.2184	0.1692	0.0757
2	+-	36	0.2866	0.0218	0.0097	0.1494	0.011	0.0049	5.2082	0.1746	0.0781
2	+-	37	0.2942	0.0204	0.0091	0.157	0.0135	0.006	5.2135	0.1707	0.0763
2	+-	38	0.2983	0.02	0.0089	0.1611	0.0121	0.0054	5.2163	0.1733	0.0775
2	+-	39	0.2971	0.0207	0.0093	0.1599	0.0154	0.0069	5.2155	0.1689	0.0756
2	+-	40	0.296	0.023	0.0103	0.1588	0.017	0.0076	5.2147	0.1764	0.0789
2	+-	41	0.2886	0.0194	0.0087	0.1514	0.012	0.0054	5.2096	0.1714	0.0766
2	+-	42	0.2844	0.0237	0.0106	0.1472	0.0162	0.0073	5.2067	0.1767	0.079
2	+-	43	0.2995	0.0143	0.0064	0.1623	0.0127	0.0057	5.2172	0.1676	0.075
2	+-	44	0.296	0.0155	0.0069	0.1589	0.0139	0.0062	5.2147	0.1718	0.0768
2	+-	45	0.2996	0.0204	0.0091	0.1624	0.0115	0.0052	5.2172	0.1695	0.0758
2	+-	46	0.2961	0.0154	0.0069	0.1589	0.0092	0.0041	5.2148	0.17	0.076
2	+-	47	0.3076	0.0134	0.006	0.1704	0.019	0.0085	5.2228	0.1634	0.0731
2	+-	48	0.2996	0.0152	0.0068	0.1624	0.0117	0.0052	5.2172	0.1691	0.0756
2	+-	49	0.3053	0.0146	0.0065	0.1681	0.0105	0.0047	5.2211	0.1658	0.0741
2	+-	50	0.2945	0.0201	0.009	0.1573	0.012	0.0054	5.2137	0.1735	0.0776
2	-+	0	0.1376	0.0453	0.0202	0.0004	0.0552	0.0247	5.1049	0.1357	0.0607
2	-+	1	0.195	0.0258	0.0115	0.0578	0.022	0.0098	5.1447	0.1659	0.0742
2	-+	2	0.1753	0.0108	0.0048	0.0381	0.022	0.0098	5.1311	0.161	0.072
2	-+	3	0.1803	0.0366	0.0163	0.0431	0.0236	0.0106	5.1345	0.1708	0.0764
2	-+	4	0.1467	0.0212	0.0095	0.0095	0.0357	0.016	5.1112	0.1615	0.0722
2	-+	5	0.1165	0.0138	0.0062	-0.0207	0.021	0.0094	5.0903	0.1612	0.0721
2	-+	6	0.101	0.0208	0.0093	-0.0362	0.0316	0.0141	5.0795	0.154	0.0689
2	-+	7	0.089	0.0152	0.0068	-0.0482	0.0279	0.0125	5.0712	0.1588	0.071
2	-+	8	0.1012	0.019	0.0085	-0.036	0.0287	0.0128	5.0797	0.1601	0.0716
2	-+	9	0.1039	0.0194	0.0087	-0.0333	0.0208	0.0093	5.0816	0.1711	0.0765
2	-+	10	0.1608	0.0112	0.005	0.0236	0.0245	0.011	5.121	0.1604	0.0717
2	-+	11	0.1645	0.0155	0.0069	0.0273	0.0278	0.0124	5.1236	0.1633	0.073
2	-+	12	0.1335	0.0217	0.0097	-0.0037	0.0347	0.0155	5.1021	0.1569	0.0702
2	-+	13	0.1255	0.0133	0.0059	-0.0117	0.0221	0.0099	5.0965	0.1622	0.0726
2	-+	14	0.1706	0.0347	0.0155	0.0334	0.0453	0.0202	5.1278	0.1539	0.0688
