motif1_name	motif2_name	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	mean_prediction_mean	mean_prediction_std	n_sequences_first
CREB_ATF_3	NRF1	--	18	0.35708957728476587	0.009805722625968571	0.0043852524720346935	1.833671236038208	0.10229193334745516	1000
CREB_ATF_3	NRF1	--	27	0.35325727927645734	0.010090035371195951	0.0045124009970742935	1.8310148477554322	0.10653481994764719	1000
CREB_ATF_3	NRF1	--	36	0.35487122466608173	0.010859090611225692	0.004856332956106078	1.8321335077285767	0.11125140940689829	1000
CREB_ATF_3	REST	++	0	0.23710560143851972	0.039980983366575774	0.017880039322990364	1.7505046606063843	0.0996047245777882	1000
CREB_ATF_3	REST	++	9	0.3073960330329465	0.01795503332935688	0.00802973501254327	1.7992262840270996	0.10203337246421063	1000
CREB_ATF_3	REST	++	18	0.29250278692268583	0.005343233155534509	0.0023895665110811736	1.788902997970581	0.10647024780653379	1000
CREB_ATF_3	REST	++	27	0.29599829560537594	0.018746160367297322	0.008383537779677847	1.7913259744644165	0.10884405121239363	1000
CREB_ATF_3	REST	++	36	0.28671563951421264	0.014114230092807736	0.006312075587518252	1.7848917245864868	0.10496886316430089	1000
CREB_ATF_3	REST	+-	0	0.4091375898242946	0.05979121908244485	0.026739446065185857	1.869748091697693	0.09414961281083033	1000
CREB_ATF_3	REST	+-	9	0.30334178281456703	0.014253065431787395	0.006374164638645801	1.7964160442352295	0.10473621747417934	1000
CREB_ATF_3	REST	+-	18	0.28192859271833803	0.012529038405483557	0.005603156313473362	1.7815735340118408	0.10370561546399243	1000
CREB_ATF_3	REST	+-	27	0.29790974518359536	0.018165089518210976	0.00812367499601773	1.792650818824768	0.10870556703295117	1000
CREB_ATF_3	REST	+-	36	0.29407283374067744	0.009790376599258918	0.004378389520253232	1.789991283416748	0.10575398564726941	1000
CREB_ATF_3	REST	-+	0	0.24939877943650632	0.03521319821026976	0.01574782098066742	1.7590256452560424	0.10848285749735564	1000
CREB_ATF_3	REST	-+	9	0.305055766212632	0.02129304834866256	0.009522540711159825	1.7976041316986084	0.10172966139238335	1000
CREB_ATF_3	REST	-+	18	0.29492979749252923	0.004884435068241073	0.0021843857688541727	1.7905852794647217	0.10516166541902083	1000
CREB_ATF_3	REST	-+	27	0.29559239505150836	0.01931963995790079	0.008640005649337468	1.791044545173645	0.11004394371108746	1000
CREB_ATF_3	REST	-+	36	0.2872350615163485	0.014779718361914848	0.006609690989108687	1.7852517366409302	0.10414886877187554	1000
CREB_ATF_3	REST	--	0	0.32808423026446326	0.04485251713676245	0.02005865545595501	1.8135662317276	0.10065329792302151	1000
CREB_ATF_3	REST	--	9	0.2953155717766796	0.014536155039514269	0.006500766159966009	1.790852689743042	0.10525777944613184	1000
CREB_ATF_3	REST	--	18	0.2840189257512862	0.013030375683191799	0.0058273611599954245	1.7830224990844727	0.10203295714262796	1000
CREB_ATF_3	REST	--	27	0.2967935691803632	0.018593573121308087	0.008315298688771565	1.7918771982192994	0.10989965082917826	1000
CREB_ATF_3	REST	--	36	0.29463998092842775	0.010545460497291347	0.004716073305196437	1.7903843879699708	0.10478021956352727	1000
CREB_ATF_3	RFX_1	++	0	0.11426072106745999	0.044360728724910224	0.019838720992065365	1.6653550148010254	0.12628988329330548	1000
CREB_ATF_3	RFX_1	++	9	0.28403950347546186	0.03201230958015822	0.014316340067600308	1.7830366849899293	0.10780195996205902	1000
CREB_ATF_3	RFX_1	++	18	0.27307512793153543	0.017722442693201	0.007925717317868378	1.775436806678772	0.11022603871950373	1000
CREB_ATF_3	RFX_1	++	27	0.27464199307048615	0.014852403121769338	0.0066421966019012645	1.7765228509902955	0.11194977599614915	1000
CREB_ATF_3	RFX_1	++	36	0.27114002213968985	0.022951331642792755	0.010264147545485304	1.7740954875946044	0.11070363848298928	1000
CREB_ATF_3	RFX_1	+-	0	0.11426072106745999	0.044360728724910224	0.019838720992065365	1.6653550148010254	0.12628988329330548	1000
CREB_ATF_3	RFX_1	+-	9	0.28403950347546186	0.03201230958015822	0.014316340067600308	1.7830366849899293	0.10780195996205902	1000
CREB_ATF_3	RFX_1	+-	18	0.27307512793153543	0.017722442693201	0.007925717317868378	1.775436806678772	0.11022603871950373	1000
CREB_ATF_3	RFX_1	+-	27	0.27464199307048615	0.014852403121769338	0.0066421966019012645	1.7765228509902955	0.11194977599614915	1000
CREB_ATF_3	RFX_1	+-	36	0.27114002213968985	0.022951331642792755	0.010264147545485304	1.7740954875946044	0.11070363848298928	1000
CREB_ATF_3	RFX_1	-+	0	0.09039198525493479	0.04052445311582634	0.018123086383598167	1.6488104820251466	0.12787469071480123	1000
CREB_ATF_3	RFX_1	-+	9	0.2812223674604013	0.02448020012946202	0.010947878318455246	1.7810840129852294	0.1071554186221952	1000
CREB_ATF_3	RFX_1	-+	18	0.2733726020231665	0.018583029749550818	0.008310583549579304	1.775642991065979	0.11019898952565525	1000
CREB_ATF_3	RFX_1	-+	27	0.2733738359986865	0.01741839879173097	0.00778974475150213	1.7756438493728637	0.1126685685988226	1000
CREB_ATF_3	RFX_1	-+	36	0.2714851741217064	0.022519800492953164	0.01007116094839531	1.774334764480591	0.11188421976892816	1000
CREB_ATF_3	RFX_1	--	0	0.09039198525493479	0.04052445311582634	0.018123086383598167	1.6488104820251466	0.12787469071480123	1000
CREB_ATF_3	RFX_1	--	9	0.2812223674604013	0.02448020012946202	0.010947878318455246	1.7810840129852294	0.1071554186221952	1000
CREB_ATF_3	RFX_1	--	18	0.2733726020231665	0.018583029749550818	0.008310583549579304	1.775642991065979	0.11019898952565525	1000
CREB_ATF_3	RFX_1	--	27	0.2733738359986865	0.01741839879173097	0.00778974475150213	1.7756438493728637	0.1126685685988226	1000
CREB_ATF_3	RFX_1	--	36	0.2714851741217064	0.022519800492953164	0.01007116094839531	1.774334764480591	0.11188421976892816	1000
CREB_ATF_3	STAT	++	0	0.6839478034251559	0.033292692470971635	0.014888944703817603	2.0602320432662964	0.10267131284890776	1000
CREB_ATF_3	STAT	++	9	0.5543399407101697	0.06246486282966091	0.02793513589846433	1.9703946590423584	0.0701787562111198	1000
CREB_ATF_3	STAT	++	18	0.5212234860071123	0.0714955313352832	0.03197377363063191	1.9474401235580445	0.09284860501983491	1000
CREB_ATF_3	STAT	++	27	0.5495176417704345	0.04812007603416541	0.02151995221897047	1.967052125930786	0.0848674606205487	1000
CREB_ATF_3	STAT	++	36	0.5555839686160533	0.08275419929507968	0.037008803009472666	1.9712570667266847	0.10023864539214862	1000
CREB_ATF_3	STAT	+-	0	0.6839478034251559	0.033292692470971635	0.014888944703817603	2.0602320432662964	0.10267131284890776	1000
CREB_ATF_3	STAT	+-	9	0.5543399407101697	0.06246486282966091	0.02793513589846433	1.9703946590423584	0.0701787562111198	1000
CREB_ATF_3	STAT	+-	18	0.5212234860071123	0.0714955313352832	0.03197377363063191	1.9474401235580445	0.09284860501983491	1000
CREB_ATF_3	STAT	+-	27	0.5495176417704345	0.04812007603416541	0.02151995221897047	1.967052125930786	0.0848674606205487	1000
CREB_ATF_3	STAT	+-	36	0.5555839686160533	0.08275419929507968	0.037008803009472666	1.9712570667266847	0.10023864539214862	1000
CREB_ATF_3	STAT	-+	0	0.6154458323157505	0.03811699831585067	0.01704643986649742	2.0127500772476195	0.10563947015541214	1000
CREB_ATF_3	STAT	-+	9	0.5644965481395238	0.05622688553734079	0.025145427644918755	1.9774347066879272	0.07213431453016371	1000
CREB_ATF_3	STAT	-+	18	0.5161977659879367	0.0683229370016234	0.030554946311613113	1.9439565658569335	0.09231842999737143	1000
CREB_ATF_3	STAT	-+	27	0.5504558415274212	0.04939006824456855	0.022087910001641797	1.9677024841308595	0.08607383210281276	1000
CREB_ATF_3	STAT	-+	36	0.5516287546071731	0.08039433071822331	0.03595343769830936	1.9685153484344482	0.0994895513489513	1000
CREB_ATF_3	STAT	--	0	0.6154458323157505	0.03811699831585067	0.01704643986649742	2.0127500772476195	0.10563947015541214	1000
CREB_ATF_3	STAT	--	9	0.5644965481395238	0.05622688553734079	0.025145427644918755	1.9774347066879272	0.07213431453016371	1000
CREB_ATF_3	STAT	--	18	0.5161977659879367	0.0683229370016234	0.030554946311613113	1.9439565658569335	0.09231842999737143	1000
CREB_ATF_3	STAT	--	27	0.5504558415274212	0.04939006824456855	0.022087910001641797	1.9677024841308595	0.08607383210281276	1000
CREB_ATF_3	STAT	--	36	0.5516287546071731	0.08039433071822331	0.03595343769830936	1.9685153484344482	0.0994895513489513	1000
CREB_ATF_3	TATAbox	++	0	0.29623356787175625	0.06274161324999193	0.02805890244899669	1.791489028930664	0.14342262133292924	1000
CREB_ATF_3	TATAbox	++	9	0.22478850495336436	0.01157685208213149	0.005177325644221197	1.7419670820236206	0.10264004185563375	1000
CREB_ATF_3	TATAbox	++	18	0.22453712221216446	0.015269607765499758	0.006828776190683225	1.7417928218841552	0.10998064118127754	1000
CREB_ATF_3	TATAbox	++	27	0.23054451490289884	0.0168248322232831	0.007524293712257987	1.745956826210022	0.11073371478478701	1000
CREB_ATF_3	TATAbox	++	36	0.26194256195419763	0.01732998900766262	0.007750206694091549	1.7677202939987182	0.11142472580357848	1000
CREB_ATF_3	TATAbox	+-	0	0.25020935946742034	0.03802515161003239	0.0170053647709536	1.7595874786376953	0.13014540958054582	1000
CREB_ATF_3	TATAbox	+-	9	0.21641163848863276	0.016745662948714525	0.00748888813632505	1.736160659790039	0.1028363423003613	1000
CREB_ATF_3	TATAbox	+-	18	0.22803467318883364	0.015008406115815928	0.006711963261777599	1.7442171573638916	0.11098041105740857	1000
CREB_ATF_3	TATAbox	+-	27	0.23101333530958454	0.018039848166059295	0.0080676653606167	1.7462818145751953	0.11209451747522867	1000
CREB_ATF_3	TATAbox	+-	36	0.2623282803439865	0.016085867921131754	0.0071938188297467655	1.767987608909607	0.10907911798877018	1000
CREB_ATF_3	TATAbox	-+	0	0.2548739911621939	0.0714884268166337	0.03197059639330237	1.7628207683563233	0.13445745513324528	1000
CREB_ATF_3	TATAbox	-+	9	0.2342114171958726	0.015220311210176338	0.006806730100931276	1.748498511314392	0.10560665538478478	1000
CREB_ATF_3	TATAbox	-+	18	0.2252896194023159	0.0159377565946006	0.007127581430874499	1.7423144340515138	0.11046100426422033	1000
CREB_ATF_3	TATAbox	-+	27	0.23354374614869297	0.01620802975777595	0.007248451263945294	1.7480357885360718	0.10890254438693525	1000
CREB_ATF_3	TATAbox	-+	36	0.2644768123059866	0.018290827283311797	0.008179906634038597	1.7694769144058227	0.1105942626326901	1000
CREB_ATF_3	TATAbox	--	0	0.22427585046853996	0.039023039423100835	0.017451633767741528	1.7416117668151856	0.12723382340290906	1000
CREB_ATF_3	TATAbox	--	9	0.2234012842923724	0.015067808909147995	0.006738528998566373	1.7410055160522462	0.10483015817412172	1000
CREB_ATF_3	TATAbox	--	18	0.2285370474107027	0.014887578424149266	0.006657927475351391	1.7445653438568116	0.11133470872948698	1000
CREB_ATF_3	TATAbox	--	27	0.23426925926092398	0.01766709052041491	0.007900963073657974	1.7485385894775392	0.11054004592431742	1000
CREB_ATF_3	TATAbox	--	36	0.2637692885790358	0.016458078702284072	0.007360276551469741	1.7689865112304688	0.10847748996741735	1000
CTCF	CTCF	++	0	0.26322026621290334	0.08331167782685601	0.037258114988082396	1.7686059474945068	0.13170564586905678	1000
CTCF	CTCF	++	9	0.22788457318050998	0.05957399503547241	0.026642300518110257	1.7441131114959716	0.12033558066734554	1000
CTCF	CTCF	++	18	0.24481823435930586	0.06107394682677432	0.027313099351774988	1.755850625038147	0.12178845535646746	1000
CTCF	CTCF	++	27	0.27139094482729864	0.07289542416134125	0.03259982473468792	1.7742693662643432	0.125318165601497	1000
CTCF	CTCF	++	36	0.27867098763658643	0.06296141041741936	0.028157198730522616	1.7793155670166017	0.11981532960280984	1000
CTCF	CTCF	+-	0	0.28099811928194124	0.04104827048051278	0.018357344630644905	1.780928611755371	0.11026441705970993	1000
CTCF	CTCF	+-	9	0.23895174275485714	0.06921598644888924	0.03095433016588412	1.7517842769622802	0.12081985839738246	1000
CTCF	CTCF	+-	18	0.24501232108037083	0.059887848776258155	0.026782660177988166	1.755985140800476	0.11872530135602295	1000
CTCF	CTCF	+-	27	0.26213751288808324	0.06758062895691935	0.030222976061972474	1.767855429649353	0.12508572049704952	1000
CTCF	CTCF	+-	36	0.26807635759374987	0.06190619181431211	0.027685290624988583	1.7719719409942627	0.1188659366180446	1000
CTCF	CTCF	-+	0	0.2861779529545551	0.08522041862639276	0.03811172982392069	1.7845189809799193	0.13537586641186802	1000
CTCF	CTCF	-+	9	0.23232727846261017	0.05313678476954865	0.023763492570097255	1.7471925020217896	0.11956777409357056	1000
CTCF	CTCF	-+	18	0.24165901840232973	0.049528748929400346	0.02214992988933182	1.7536608219146728	0.11216350955632766	1000
CTCF	CTCF	-+	27	0.2667145559685555	0.06428297010582579	0.02874821819044266	1.7710279941558837	0.12081556399266011	1000
CTCF	CTCF	-+	36	0.2756213310775593	0.06186363245541799	0.02766625750107537	1.7772017240524292	0.11962938518311872	1000
CTCF	CTCF	--	0	0.26084572754983815	0.08199798595860942	0.036670614124304786	1.7669599771499633	0.13139128206454226	1000
CTCF	CTCF	--	9	0.23402638536137554	0.06471272037243055	0.02894040835233804	1.7483702659606934	0.12277040710418796	1000
CTCF	CTCF	--	18	0.24775667403758628	0.05653505820881087	0.02528324665336172	1.7578874111175538	0.1183437284393003	1000
CTCF	CTCF	--	27	0.2716180049221003	0.07249442716451061	0.03242049342595061	1.7744268417358398	0.12577464844862823	1000
CTCF	CTCF	--	36	0.2735075181132022	0.06645926596966163	0.029721487288580376	1.7757364749908446	0.12294905103162822	1000
CTCF	E2F	++	0	0.12640721828720042	0.033735633852708294	0.015087034111739775	1.673774290084839	0.1127521481904388	1000
CTCF	E2F	++	9	0.12774760807236243	0.030401084831119102	0.013595778454424005	1.6747034788131714	0.11058353843259898	1000
CTCF	E2F	++	18	0.12709509944563951	0.02688737235406011	0.01202439846400539	1.674251103401184	0.10952010430378756	1000
CTCF	E2F	++	27	0.1335473403113125	0.03088825704634801	0.013813648492424205	1.6787234544754028	0.1132658139400771	1000
CTCF	E2F	++	36	0.14270296571698224	0.031049967533230458	0.013885967620692953	1.685069727897644	0.11253391792888792	1000
