motif	percentile_threshold	pct_hits_kept	score_threshold	n_hits_passing	n_regions_passing	p300_pos_with_hit	p300_neg_with_hit	odds_ratio	log2_odds_ratio	p_value
FOS-JUN_0	90	top 10%	12.017246028093448	24959	16836	4616	12220	1.8075706442507065	0.8540520323042116	9.057795349108272e-204
GATA_1	0	top 100%	7.900013115404802	93871	65877	15186	50691	1.7447645163605614	0.8030323350000591	0.0
GATA_1	25	top 75%	8.186645519595526	70404	53360	12682	40678	1.7151069665775278	0.7782985561873443	0.0
GATA_1	50	top 50%	8.566042500439348	46956	38689	9622	29067	1.7206744104803005	0.7829741335059925	1.8223602502857018e-300
GATA_1	75	top 25%	9.175051568963012	23470	21143	5621	15522	1.7585912754103266	0.8144202164897719	3.9076002423507065e-220
GATA_1	90	top 10%	9.8945599610095	9387	8960	2483	6477	1.7641889822851649	0.8190051125973139	6.940603470817544e-109
NF2L-NFE_0	0	top 100%	1.400012775927182	230613	107770	21194	86576	1.386981612840908	0.4719486620385371	9.730900012189852e-93
NF2L-NFE_0	25	top 75%	2.397821498884781	172960	94182	18994	75188	1.3966209038388964	0.48194047144714725	2.343112089957253e-117
NF2L-NFE_0	50	top 50%	3.7720521645578327	115307	74544	15772	58772	1.449769338138945	0.5358233821751751	7.82089906524827e-164
NF2L-NFE_0	75	top 25%	6.046317651177876	57654	45407	10514	34893	1.544307965755125	0.6269604834113935	4.365177651637338e-206
NF2L-NFE_0	90	top 10%	9.101126338381006	23062	20801	5574	15227	1.7788209830742856	0.8309213280158363	7.179185268273871e-227
NFI_0	0	top 100%	7.300432724022265	237189	113031	21172	91859	1.0860374556488528	0.11907386018372701	5.157625206974459e-07
NFI_0	25	top 75%	7.899247982709924	177916	98879	18652	80227	1.0886167094276584	0.12249608560280696	5.9547674599107046e-09
NFI_0	50	top 50%	8.602960226036263	118568	78515	14872	63643	1.072402704355282	0.10084676258588562	2.743630835432423e-07
NFI_0	75	top 25%	9.730060289910512	59288	47688	9138	38550	1.0714859487886401	0.09961293097958852	1.4617945663647014e-06
NFI_0	90	top 10%	10.748509159165565	23718	21597	4173	17424	1.0686675788236188	0.09581315617843189	0.00042168081168256325
NFI_1	0	top 100%	1.200009063912283	271711	90131	16597	73534	0.9923094031143291	-0.011138070301975432	0.5823138415392264
NFI_1	25	top 75%	2.2906757956024726	203785	76948	14222	62726	1.003406484055399	0.004906166001716143	0.8021887608517773
NFI_1	50	top 50%	3.782190917549485	135856	59162	11018	48144	1.0186250315450682	0.02662307536420015	0.17974462430304994
NFI_1	75	top 25%	6.187178289183477	67928	34854	6460	28394	1.0066511762409196	0.009563848697722793	0.6747841062908688
NFI_1	90	top 10%	9.191554037093736	27172	15413	2836	12577	0.9956601650255322	-0.006274683811703603	0.8519401730378752
RFX_1	0	top 100%	0.3000269586966935	139658	62771	12414	50357	1.1656042091790648	0.22107799232185674	1.8821593122481775e-29
RFX_1	25	top 75%	1.1733202572266583	104744	49962	10017	39945	1.1719631982832264	0.2289272672960874	2.1973376321708704e-29
RFX_1	50	top 50%	2.4446620782445057	69830	35604	7279	28325	1.1855458881593715	0.24555150536628367	3.2060257470325377e-28
